label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,597,56,7819
1,20.0,617,118,7746
1,40.0,529,171,7682
1,60.0,541,248,7696
1,80.0,700,198,7697
1,100.0,852,-23,7769
1,120.0,609,23,7560
1,140.0,515,243,7601
1,160.0,524,316,7608
1,180.0,583,386,7706
1,200.0,633,373,7741
1,220.0,506,647,7835
1,240.0,265,804,7999
1,260.0,560,1128,7845
1,280.0,1179,1899,8382
1,300.0,1260,2288,7900
1,320.0,1285,2389,7188
1,340.0,1388,2614,7167
1,360.0,1659,3349,7209
1,380.0,1490,4288,6506
1,400.0,1875,5532,7342
1,420.0,2246,6106,8563
1,440.0,2519,5712,9270
1,460.0,2065,5382,9224
1,480.0,753,5087,8029
1,500.0,-360,4527,6548
1,520.0,-976,3832,5622
1,540.0,-244,3169,6244
1,560.0,647,2638,7208
1,580.0,579,1972,6856
1,600.0,-32,1565,5857
1,620.0,-788,1039,4482
1,640.0,-1102,629,3602
1,660.0,-966,145,3081
1,680.0,-393,-255,2765
1,700.0,-448,-401,1832
1,720.0,-878,-88,859
1,740.0,-797,341,614
1,760.0,288,652,2106
1,780.0,657,797,2740
1,800.0,-174,1380,2610
1,820.0,-845,1789,2593
1,840.0,-92,1429,3135
1,860.0,1999,939,5500
1,880.0,1914,1274,6077
1,900.0,426,3374,7059
1,920.0,858,4237,9654
1,940.0,3931,3836,12822
1,960.0,5264,4300,15616
1,980.0,2418,5466,16285
1,1000.0,15432,3388,29402
1,1020.0,6604,10783,27464
1,1040.0,10840,13738,32767
1,1060.0,5419,16137,32767
1,1080.0,7844,13790,30565
1,1100.0,6570,10902,24444
1,1120.0,4900,9995,22069
1,1140.0,3107,7612,17753
1,1160.0,644,5020,13363
1,1180.0,-848,1405,9024
1,1200.0,-1937,-475,6142
1,1220.0,-2874,-1347,2908
1,1240.0,-4587,-730,159
1,1260.0,-4281,1171,-148
1,1280.0,-2499,517,-2806
1,1300.0,-1682,-264,-5097
1,1320.0,-2616,1226,-5700
1,1340.0,-3116,2900,-5336
1,1360.0,-450,2995,-3324
1,1380.0,753,1615,-2771
1,1400.0,-841,801,-3596
1,1420.0,-1970,1230,-3354
1,1440.0,-2031,1648,-2358
1,1460.0,-571,1486,-638
1,1480.0,-181,1580,941
1,1500.0,-253,1230,584
1,1520.0,-994,678,-364
1,1540.0,-1075,598,457
1,1560.0,-1025,352,1188
1,1580.0,-721,5,228
1,1600.0,-246,945,855
1,1620.0,974,1646,2274
1,1640.0,2040,849,1604
1,1660.0,1618,282,1071
1,1680.0,1632,-404,2175
1,1700.0,6100,-1493,5051
1,1720.0,7261,233,4203
1,1740.0,4902,95,5718
1,1760.0,5601,59,7720
1,1780.0,12318,4046,16897
1,1800.0,8561,7067,15968
1,1820.0,13162,3801,14370
1,1840.0,11612,-1439,14834
1,1860.0,20881,9634,25580
1,1880.0,25880,6844,13686
1,1900.0,31046,71,-5014
1,1920.0,17114,-2743,-20967
1,1940.0,-8797,6105,7354
1,1960.0,862,5030,12612
1,1980.0,16918,3909,15850
1,2000.0,21524,-1859,10881
1,2020.0,12984,-777,4534
1,2040.0,9646,1223,2030
1,2060.0,9860,868,784
1,2080.0,8594,361,-332
1,2100.0,3986,3239,-4462
1,2120.0,1024,5882,-7260
1,2140.0,5519,3560,-5821
1,2160.0,9123,1267,-2503
1,2180.0,10406,-18,-2006
1,2200.0,10108,275,-1884
1,2220.0,10825,27,-1796
1,2240.0,11567,283,1238
1,2260.0,10180,1162,1996
1,2280.0,8842,2807,-633
1,2300.0,7926,2690,-2366
1,2320.0,7554,1299,-3082
1,2340.0,8381,1594,-763
1,2360.0,8444,1585,-923
1,2380.0,7636,2195,-1129
1,2400.0,7213,2266,-1199
1,2420.0,7538,1823,177
1,2440.0,9124,862,1934
1,2460.0,8359,411,1378
1,2480.0,6615,427,891
1,2500.0,6174,518,594
1,2520.0,7703,1284,2194
1,2540.0,8523,323,2243
1,2560.0,8050,410,729
1,2580.0,9169,922,1031
1,2600.0,9418,608,2036
1,2620.0,7882,335,789
1,2640.0,6776,290,-16
1,2660.0,6522,347,-219
1,2680.0,7462,18,1922
1,2700.0,7571,188,3036
1,2720.0,6117,1192,1545
1,2740.0,5489,1422,1723
1,2760.0,5199,1995,2869
1,2780.0,5617,1756,3799
1,2800.0,5589,1197,2854
1,2820.0,5981,1993,3667
1,2840.0,5598,2806,4679
1,2860.0,5523,2294,5677
1,2880.0,5124,2231,4998
1,2900.0,5079,2782,5984
1,2920.0,4446,3986,7269
1,2940.0,4169,4284,6679
1,2960.0,4618,3672,5626
1,2980.0,4847,3702,6010
