label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-972,-7206,-2258
1,20.0,-1281,-7721,-559
1,40.0,-532,-9085,1207
1,60.0,-378,-7840,4021
1,80.0,-194,-9317,5204
1,100.0,1523,-8649,10187
1,120.0,2200,483,7697
1,140.0,523,-19123,549
1,160.0,234,7272,14246
1,180.0,84,-12933,3046
1,200.0,-490,-12028,3169
1,220.0,-2344,-8812,3897
1,240.0,-2658,-8398,3784
1,260.0,-2591,-8603,3330
1,280.0,-2404,-8581,3621
1,300.0,-1440,-8588,3838
1,320.0,-351,-8636,3351
1,340.0,515,-8481,2869
1,360.0,2206,-8328,2273
1,380.0,3796,-8173,1036
1,400.0,5062,-7730,-425
1,420.0,5387,-8108,-1597
1,440.0,4555,-8136,-3109
1,460.0,5161,-7090,-3746
1,480.0,5794,-6883,-4490
1,500.0,5490,-6847,-5549
1,520.0,4851,-6742,-6888
1,540.0,3953,-6466,-7653
1,560.0,3582,-6611,-7856
1,580.0,3549,-6794,-6956
1,600.0,3510,-7105,-4835
1,620.0,3239,-7533,-1437
1,640.0,2628,-8271,2528
1,660.0,2018,-8539,6450
1,680.0,712,-8142,8553
1,700.0,-1631,-6714,6538
1,720.0,-3007,-8555,2534
1,740.0,-6311,-6915,-1484
1,760.0,-7687,-7113,-3816
1,780.0,-8618,-6887,-5184
1,800.0,-6826,-6778,-4439
1,820.0,-4194,-7002,-2844
1,840.0,-2384,-7480,-2464
1,860.0,-895,-7535,-2232
1,880.0,674,-7576,-2203
1,900.0,1797,-7740,-2386
1,920.0,2596,-7192,-2353
1,940.0,2541,-6995,-2483
1,960.0,2219,-6854,-2365
1,980.0,1393,-6028,-2056
1,1000.0,923,-6434,-2381
1,1020.0,1035,-7026,-2472
1,1040.0,1535,-9551,-3258
1,1060.0,1897,-6943,-2133
1,1080.0,2016,-6447,-2446
1,1100.0,1685,-6843,-2900
1,1120.0,1113,-6012,-2393
1,1140.0,707,-5364,-1983
1,1160.0,523,-4605,-1549
1,1180.0,-173,-11776,-2512
1,1200.0,50,-5653,-845
1,1220.0,348,-4877,-311
1,1240.0,354,-6858,-2401
1,1260.0,116,-4002,-1465
1,1280.0,51,-3645,-1676
1,1300.0,-29,-6780,-1898
1,1320.0,-687,-4009,-800
1,1340.0,-317,-8584,-2005
1,1360.0,-93,-2110,-1265
1,1380.0,-244,-3995,-1946
1,1400.0,-229,-2285,-1773
1,1420.0,-228,-2103,-1065
1,1440.0,-216,-1599,-691
1,1460.0,-79,-1009,-1083
1,1480.0,1,-291,-1298
1,1500.0,-95,353,-854
1,1520.0,-58,894,-227
1,1540.0,42,1224,-140
1,1560.0,114,1571,-361
1,1580.0,62,1851,-790
1,1600.0,-22,2550,231
1,1620.0,90,1760,-76
1,1640.0,-20,2446,1477
1,1660.0,34,3771,914
1,1680.0,234,1478,-1666
1,1700.0,50,1698,44
1,1720.0,438,2952,1292
1,1740.0,1541,16710,-12039
1,1760.0,25522,21652,32767
1,1780.0,-114,-18433,-30649
1,1800.0,-14618,-10560,-6485
1,1820.0,-7295,-22075,-9320
1,1840.0,4413,-10028,-16983
1,1860.0,15434,-5855,-11074
1,1880.0,8786,-12045,-11085
1,1900.0,6927,-17415,-21570
1,1920.0,30755,-32767,-10681
1,1940.0,8302,-17570,5059
1,1960.0,-13646,5775,22866
1,1980.0,3343,4976,-859
1,2000.0,160,1426,-3057
1,2020.0,3431,925,-2114
1,2040.0,3395,2514,3690
1,2060.0,1394,1028,-384
1,2080.0,3008,86,2261
1,2100.0,36,3007,8768
1,2120.0,-2145,3708,-824
1,2140.0,-1772,-1881,4451
1,2160.0,1764,155,-10220
1,2180.0,4626,3874,5582
1,2200.0,27505,-13984,32767
1,2220.0,19224,-5871,-980
1,2240.0,7592,1821,-11520
1,2260.0,3265,2,-3380
1,2280.0,4444,3565,-10501
1,2300.0,1030,6889,359
1,2320.0,1646,2252,-5938
1,2340.0,1805,1035,-11383
1,2360.0,4385,229,-8317
1,2380.0,2734,-3640,-8249
1,2400.0,-6228,-7232,10390
1,2420.0,-8900,-11490,23392
1,2440.0,-5342,-2985,6428
1,2460.0,-5576,-1081,-369
1,2480.0,-5081,-1549,-695
1,2500.0,-5638,-993,-353
1,2520.0,-9375,439,-1972
1,2540.0,-12423,1174,-3485
1,2560.0,-9591,1336,-4550
1,2580.0,-8418,437,-6177
1,2600.0,-6380,1096,-6449
1,2620.0,-5980,978,-3505
1,2640.0,-8985,469,-2663
1,2660.0,-8662,807,-3402
1,2680.0,-7787,902,-2092
1,2700.0,-8335,1001,-101
1,2720.0,-7964,1179,-1441
1,2740.0,-7501,1561,-3050
1,2760.0,-8120,1719,-1822
1,2780.0,-7986,2014,-1239
1,2800.0,-7031,2401,-2121
1,2820.0,-7462,2592,-2393
1,2840.0,-8349,2246,-1303
1,2860.0,-8287,2842,-769
1,2880.0,-7377,2649,-1569
1,2900.0,-7348,2760,-1330
1,2920.0,-8353,2296,-1074
1,2940.0,-8750,2575,-1436
1,2960.0,-8147,3176,-2983
1,2980.0,-8267,1458,-806
