label,time_s,x_g,y_g,z_g
1,0.0,0.046630740000000004,-0.92419197,-0.34680087
1,0.02,0.05236803,-0.94299075,-0.25341732
1,0.04,0.03015129,-0.96667233,-0.14904747000000002
1,0.06,0.0170898,-0.99413808,-0.09851049
1,0.08,-0.02905266,-1.00243884,-0.07958964
1,0.1,-0.07116681,-1.00744371,-0.04785144
1,0.12,-0.1000974,-0.9766820700000001,-0.0573729
1,0.14,-0.12377898,-0.92236092,-0.10266087
1,0.16,-0.15637167,-0.92175057,-0.14489709
1,0.18,-0.18212844,-0.93298101,-0.19494579
1,0.2,-0.2111811,-0.94091556,-0.27014091
1,0.22,-0.18579054,-0.94384524,-0.390624
1,0.24,-0.13159146,-0.9583715700000001,-0.43224987
1,0.26,-0.09326148000000001,-0.97448481,-0.40856829
1,0.28,-0.09094215,-0.98168694,-0.30041427
1,0.3,-0.0952146,-0.99694569,-0.20117136
1,0.32,-0.09497046,-0.9992650200000001,-0.1611324
1,0.34,-0.11706513,-1.03771707,-0.12792936
1,0.36,-0.11108370000000001,-1.08312711,-0.09545874
1,0.38,-0.12304656,-1.06921113,-0.10168431
1,0.4,-0.13537563,-1.03954812,-0.13684047
1,0.42,-0.14208948,-0.99279531,-0.15942342
1,0.44,-0.16918902,-0.97839105,-0.16503864000000001
1,0.46,-0.19299267,-0.95165772,-0.15978963000000002
1,0.48,-0.17248491,-0.92199471,-0.16674762
1,0.5,-0.1647945,-0.9012428100000001,-0.1684566
1,0.52,-0.18273879,-0.95409912,-0.14074671
1,0.54,-0.22729434,-1.03539774,-0.06689436
1,0.56,-0.26159601,-1.0865450700000001,-0.05761704
1,0.58,-0.21008247,-1.0582248300000001,-0.06396468
1,0.6,-0.09252906,-0.9875463,-0.15063438
1,0.62,-0.0451659,-0.94958253,-0.26159601
1,0.64,-0.04577625,-1.02966045,-0.28222584
1,0.66,-0.07287579,-1.08984096,-0.24523863
1,0.68,-0.06127914,-1.08727749,-0.25671321
1,0.7000000000000001,0.01843257,-1.09521204,-0.33276282
1,0.72,0.08239725,-1.10558799,-0.34814364000000003
1,0.74,0.09106422,-1.10424522,-0.29711838
1,0.76,0.09411597000000001,-1.05541722,-0.27355887
1,0.78,0.08019999,-1.0026829800000001,-0.21911565
1,0.8,0.06127914,-0.9191871,-0.14123499
1,0.8200000000000001,0.01208493,-0.85925073,-0.0671385
1,0.84,-0.05444322,-0.80248818,-0.02868645
1,0.86,-0.1000974,-0.7497539400000001,-0.03466788
1,0.88,-0.12780729,-0.71117982,-0.01721187
1,0.9,-0.14733849,-0.69152655,0.02185053
1,0.92,-0.1806636,-0.67309398,0.01623531
1,0.9400000000000001,-0.17797806,-0.6799299,-0.028442310000000002
1,0.96,-0.0988767,-0.74548149,-0.1452633
1,0.98,-0.01721187,-0.84142851,-0.26757744
1,1.0,0.01318356,-0.92626716,-0.34533603
1,1.02,0.0024414,-0.96154539,-0.43005261
1,1.04,-0.01013181,-0.96874752,-0.51843129
1,1.06,0.04089345,-0.9819310800000001,-0.56201028
1,1.08,0.06408675,-0.9667944,-0.57751317
1,1.1,0.05029284,-1.00231677,-0.60278166
1,1.12,0.05603013,-1.0839816,-0.62695152
1,1.1400000000000001,0.04382313,-1.1828583,-0.65002275
1,1.16,0.02795403,-1.22973318,-0.71105775
1,1.18,0.01135251,-1.23315114,-0.8441140500000001
1,1.2,-0.09082008,-1.24499193,-0.80212197
1,1.22,-0.2209467,-1.30175448,-0.7336407
1,1.24,-0.31909098,-1.27868325,-0.67468089
1,1.26,-0.35778717,-1.17968448,-0.64831377
1,1.28,-0.31909098,-1.14770214,-0.53686386
1,1.3,-0.2172846,-1.10485557,-0.44909553
1,1.32,-0.10803195,-0.9655737,-0.36926175
1,1.34,-0.06335433,-0.7250958,-0.31787028
1,1.36,0.00720213,-0.46789431,-0.20690865
1,1.3800000000000001,0.12853971,-0.2795403,-0.04772937
1,1.4000000000000001,0.2539056,-0.22363224,0.14465295
1,1.42,0.27795339,-0.08581521,0.16076619
1,1.44,0.27600027,0.00207519,0.11743134
