label,time_s,x_g,y_g,z_g
1,0.0,0.00036621,-0.97265376,-0.32153238
1,0.02,-0.01135251,-0.97887933,-0.30493086
1,0.04,-0.02624505,-0.97509516,-0.29711838
1,0.06,-0.02099604,-0.9855931800000001,-0.30163497
1,0.08,-0.021972600000000002,-0.9725316900000001,-0.30126876
1,0.1,0.00659178,-0.98278557,-0.30322188
1,0.12,0.00476073,-0.98791251,-0.28796313
1,0.14,0.0085449,-0.98864493,-0.25561458
1,0.16,0.00988767,-0.98278557,-0.24560484
1,0.18,-0.00927732,-0.9835179900000001,-0.28210377000000003
1,0.2,-0.02429193,-0.9746068800000001,-0.31713786
1,0.22,-0.02587884,-0.97753656,-0.33434973
1,0.24,-0.028442310000000002,-0.97631586,-0.31677165
1,0.26,-0.01940913,-0.98425041,-0.28332447
1,0.28,-0.0024414,-0.98571525,-0.26135187
1,0.3,0.0073242,-0.98058831,-0.27477957000000003
1,0.32,0.02258295,-0.9803441700000001,-0.30261153
1,0.34,0.04431141,-0.98046624,-0.30944745
1,0.36,0.07800273,-0.9777807000000001,-0.29724045
1,0.38,0.10229466,-0.98095452,-0.28771899
1,0.4,0.12683073,-0.98791251,-0.28466724
1,0.42,0.14306604,-0.98803458,-0.28344654
1,0.44,0.16125447,-0.9819310800000001,-0.31433025
1,0.46,0.1660152,-0.98315178,-0.31152264
1,0.48,0.16650348,-0.98217522,-0.30383223
1,0.5,0.16137654,-0.98278557,-0.29919357
1,0.52,0.17077593,-0.98071038,-0.30529707
1,0.54,0.17126421,-0.97863519,-0.32751381
1,0.56,0.18420363,-0.97924554,-0.35424714
1,0.58,0.18408156,-0.96471921,-0.34411533
1,0.6,0.17016558,-0.97155513,-0.31762614
1,0.62,0.17724564,-0.97741449,-0.27685476
1,0.64,0.20373483,-0.99670155,-0.26208429
1,0.66,0.20495553,-0.97704828,-0.26208429
1,0.68,0.1916499,-0.97497309,-0.29186937
1,0.7000000000000001,0.19934031,-0.96325437,-0.32983314
1,0.72,0.19323681,-0.94018314,-0.32189859
1,0.74,0.19128369,-0.94018314,-0.28100514
1,0.76,0.17138628,-0.96215574,-0.2697747
1,0.78,0.11340303,-0.96581784,-0.24035583
1,0.8,0.046630740000000004,-0.9551977500000001,-0.20165964
1,0.8200000000000001,0.01525875,-0.92577888,-0.20288034
1,0.84,-0.00183105,-0.91772226,-0.26745537
1,0.86,-0.0329589,-0.91857675,-0.36852933
1,0.88,-0.07336407,-0.90636975,-0.30371016
1,0.9,-0.0585936,-0.89513931,-0.24316344
1,0.92,-0.04833972,-0.8874489,-0.20690865
1,0.9400000000000001,-0.02160639,-0.87707295,-0.24560484
1,0.96,-0.02612298,-0.8870826900000001,-0.3002922
1,0.98,-0.0354003,-0.89831313,-0.25805598
1,1.0,-0.02087397,-0.88879167,-0.19580028
1,1.02,0.00646971,-0.87707295,-0.21227973
1,1.04,-0.00598143,-0.85986108,-0.26452569
1,1.06,-0.03100578,-0.8493630600000001,-0.26159601
1,1.08,-0.02233881,-0.85632105,-0.23144472
1,1.1,0.00720213,-0.82433871,-0.21069282
1,1.12,0.00585936,-0.805662,-0.22558536
1,1.1400000000000001,-0.02258295,-0.78198042,-0.24023376
1,1.16,-0.02294916,-0.80712684,-0.25720149
1,1.18,-0.00305175,-0.74987601,-0.22766055000000002
1,1.2,0.01428219,-0.73095516,-0.21911565
1,1.22,-0.00646971,-0.6821271600000001,-0.20202585
1,1.24,-0.01757808,-0.65942214,-0.22582950000000002
1,1.26,-0.02416986,-0.58154148,-0.22778262
1,1.28,0.02514642,-0.6066879000000001,-0.23901306
1,1.3,-0.00219726,-0.7481670300000001,-0.23718201
1,1.32,-0.00207519,-0.46911501,-0.14990196
1,1.34,0.01806636,-0.53198106,-0.24645933
1,1.36,0.02551263,-0.41845596,-0.25036557
1,1.3800000000000001,0.02893059,-0.37170315,-0.21264594
1,1.4000000000000001,0.00671385,-0.27050712,-0.13854945
1,1.42,0.014892540000000001,-0.28893969,-0.19714305000000001
1,1.44,0.0292968,-0.20031687,-0.21545355
1,1.46,0.0402831,-0.09814428,-0.19726512000000002
1,1.48,0.03564444,-0.00134277,-0.13879359
1,1.5,0.05224596,0.03332511,-0.12841764
1,1.52,0.04943835,0.12341277,-0.13635219
1,1.54,0.045287970000000004,0.21203559,-0.11657685
1,1.56,0.04895007,0.26464776,-0.07543926000000001
1,1.58,0.05639634,0.28356861,-0.04003896
1,1.6,0.05712876,0.32092203,-0.010986300000000001
1,1.62,0.06762678,0.31396404,-0.00012207
1,1.6400000000000001,0.06079086,0.38037012,-0.02233881
1,1.6600000000000001,-0.0012207,0.33801183,-0.07336407
1,1.68,0.14587365,0.36657621,-0.01843257
1,1.7,0.15917928,0.30041427,0.00195312
1,1.72,0.30981366,0.47399781,-0.01635738
1,1.74,-0.07995585,0.56799171,0.25976496
1,1.76,0.2465814,0.60729825,0.0054931500000000005
1,1.78,3.99986769,3.99986769,3.99986769
1,1.8,-2.08800735,3.9926655600000003,1.45556268
1,1.82,-0.37414455,1.38964488,2.05956504
1,1.84,1.84411149,0.74279595,-0.31310955
1,1.86,2.95250709,-0.87219015,-3.35106564
1,1.8800000000000001,2.36022345,-1.77868197,-1.80712428
1,1.9000000000000001,2.25890535,-2.79027606,-2.87267331
1,1.92,0.92199471,-2.08092729,-1.5508993500000001
1,1.94,0.1623531,-1.1987274,-0.7116681
1,1.96,-0.56591652,-0.20104929,-0.12768522
1,1.98,-1.54931244,0.38622948,1.01818587
1,2.0,-1.42651002,0.76037403,0.9033180000000001
1,2.02,-1.25548995,0.65783523,1.17382512
1,2.04,-0.93273687,0.52795275,1.43957151
1,2.06,0.07165509,0.03698721,-0.11767548
1,2.08,0.44811897,-0.17748978,-0.3710928
1,2.1,0.89660415,-0.52343616,-0.57714696
1,2.12,1.30041171,-0.634764,-0.85864038
1,2.14,0.88952409,-0.61437831,-0.33959874
1,2.16,0.59179536,-0.36169341,0.20971626000000002
1,2.18,0.19091748,0.219726,0.46349979
1,2.2,3.99986769,3.3093177000000003,-3.99986769
1,2.22,0.47265504,0.96056883,3.15001635
1,2.24,0.68749824,1.23473805,-2.31054096
1,2.2600000000000002,-0.29516526,-0.34448154000000003,-1.3708461
1,2.2800000000000002,0.5041491,-0.99718983,-1.21032405
1,2.3000000000000003,2.03795865,-1.6369587,0.66882153
1,2.32,-0.45507696000000003,-1.3146939,1.19006043
1,2.34,0.10436985,1.03551981,2.35314339
1,2.36,0.0866697,1.5550497300000001,1.37804823
1,2.38,-0.34216221,1.39587045,-0.09387183
1,2.4,-0.52685412,0.81994419,1.22753592
1,2.42,-3.99986769,1.42394655,-3.01647177
1,2.44,-0.38500878,0.25134213,-1.18102725
1,2.46,-0.06359847,0.06518538,0.47631714
1,2.48,0.56201028,-0.43273815,-0.33044349
1,2.5,-0.08923317,-0.13977015,0.19421337
1,2.52,-1.27245768,0.27905202,-0.81725865
1,2.54,-1.96032213,0.32006754,0.4223622
1,2.56,-1.37316543,0.36083892,0.40881243
1,2.58,-0.69567693,0.27990651,-0.035034090000000004
1,2.6,-1.31701323,0.31787028,1.47253041
1,2.62,-0.97082271,0.22961367,-0.14477502
1,2.64,-1.18664247,-0.07775859,0.13110318
1,2.66,-0.86291283,0.04895007,0.64672686
1,2.68,-0.5822739,-0.11767548,-0.4235829
1,2.7,-1.22094414,-0.06579573,0.29394456
1,2.72,-0.76098438,-0.05053698,0.14855919
1,2.74,-0.9761937900000001,-0.10546848,-0.11364717
1,2.7600000000000002,-1.16247261,-0.03857412,0.40344135000000003
1,2.7800000000000002,-0.68017404,-0.02453607,0.11218233
1,2.8000000000000003,-1.13879103,-0.0054931500000000005,0.18298293000000002
1,2.82,-1.04357643,-0.01635738,0.21704046
1,2.84,-0.7751445,-0.03601065,0.08129862
1,2.86,-1.10607627,-0.03881826,0.22021428
1,2.88,-0.97216548,-0.02868645,0.1477047
1,2.9,-0.91711191,-0.0402831,0.19421337
1,2.92,-1.04064675,-0.04675281,0.2014155
1,2.94,-0.94042728,-0.03027336,0.14428674
1,2.96,-0.9680151,-0.03027336,0.18884229
1,2.98,-0.99792225,-0.0231933,0.14025843
