label,time_s,x_g,y_g,z_g
1,0.0,0.0195312,-0.98449455,-0.32238687
1,0.02,0.01928706,-0.98840079,-0.28454517
1,0.04,-0.00769041,-1.00134021,-0.21643011
1,0.06,-0.03027336,-1.00524645,-0.17175249
1,0.08,-0.04992663,-1.0034154,-0.17346147
1,0.1,-0.05834946,-0.9997533000000001,-0.2233881
1,0.12,-0.02770989,-0.99743397,-0.23510682
1,0.14,-0.02526849,-0.99267324,-0.25341732
1,0.16,-0.02001948,-0.99279531,-0.24792417
1,0.18,-0.00646971,-0.99303945,-0.23278749
1,0.2,-0.00756834,-0.99462636,-0.22924746000000001
1,0.22,-0.0183105,-0.99621327,-0.22973574
1,0.24,-0.03210441,-0.9960912000000001,-0.22582950000000002
1,0.26,-0.03955068,-0.99206289,-0.24084411
1,0.28,-0.03955068,-0.9912084,-0.25122006
1,0.3,-0.06152328,-0.99621327,-0.24108825
1,0.32,-0.1000974,-0.98571525,-0.23046816
1,0.34,-0.13903773,-1.02929424,-0.22033635000000001
1,0.36,-0.16418415,-1.01403549,-0.21142524000000001
1,0.38,-0.21643011,-0.95361084,-0.18237258
1,0.4,-0.23522889,-0.9604467600000001,-0.31335369
1,0.42,-0.21594183,-0.97863519,-0.33886632
1,0.44,-0.17053179000000002,-0.98400627,-0.22058049
1,0.46,-0.12902799,-0.99865467,-0.11462373000000001
1,0.48,-0.14074671,-1.00793199,-0.13574184
1,0.5,-0.14343225,-0.98840079,-0.22924746000000001
1,0.52,-0.13269009,-0.97802484,-0.28369068000000003
1,0.54,-0.12585417000000002,-0.9766820700000001,-0.27392508
1,0.56,-0.11669892,-0.97375239,-0.24902280000000002
1,0.58,-0.10388157,-0.97082271,-0.23168886
1,0.6,-0.11181612,-0.97631586,-0.22521915
1,0.62,-0.12670866,-0.97143306,-0.23644959000000002
1,0.64,-0.13000455,-0.97204341,-0.22546329
1,0.66,-0.1123044,-0.96899166,-0.21630804
1,0.68,-0.09692358,-0.9533667,-0.20825142
1,0.7000000000000001,-0.08618142,-0.95739501,-0.25134213
1,0.72,-0.06494124,-0.95971434,-0.26269464
1,0.74,-0.05395494,-0.96215574,-0.24389586
1,0.76,-0.04345692,-0.95409912,-0.21704046
1,0.78,-0.00219726,-0.96691647,-0.18542433
1,0.8,0.01696773,-0.9437231700000001,-0.231933
1,0.8200000000000001,0.00378417,-0.99596913,-0.31298748
1,0.84,-0.01660152,-0.97179927,-0.26269464
1,0.86,-0.02880852,-0.915525,-0.18176223
1,0.88,-0.027099540000000002,-0.89867934,-0.20214792
1,0.9,-0.0292968,-0.92150643,-0.26867607
1,0.92,-0.03588858,-0.9265113,-0.28417896
1,0.9400000000000001,-0.03808584,-0.91320567,-0.23644959000000002
1,0.96,-0.02795403,-0.89001237,-0.21227973
1,0.98,-0.02624505,-0.88635027,-0.23718201
1,1.0,-0.03454581,-0.88525164,-0.26574639
1,1.02,-0.04443348,-0.86974875,-0.24072204
1,1.04,-0.03491202,-0.84948513,-0.19128369
1,1.06,-0.02905266,-0.84374784,-0.19702098
1,1.08,-0.02832024,-0.83898711,-0.24499449
1,1.1,-0.03210441,-0.8278787400000001,-0.25048764
1,1.12,-0.03247062,-0.79907022,-0.20446725
1,1.1400000000000001,-0.02307123,-0.77819625,-0.17358354
1,1.16,-0.02722161,-0.73461726,-0.19030713
1,1.18,-0.024414,-0.73095516,-0.23754822
1,1.2,-0.01940913,-0.70080387,-0.22277775
1,1.22,-0.01611324,-0.70055973,-0.18200637
1,1.24,-0.02868645,-0.6408675,-0.15002403
1,1.26,-0.02001948,-0.62670738,-0.18444777
1,1.28,-0.02819817,-0.59509125,-0.21105903
1,1.3,-0.00585936,-0.51867543,-0.17150835
1,1.32,0.01416012,-0.49462764000000004,-0.14611779
1,1.34,-0.00329589,-0.53771835,-0.19372509000000002
1,1.36,-0.0017089800000000001,-0.37914942,-0.1855464
1,1.3800000000000001,-0.01074216,-0.32458413,-0.1843257
