label,time_s,x_g,y_g,z_g
1,0.0,0.24230895,-0.91076427,-0.54992535
1,0.02,0.22351017,-0.90905529,-0.52502307
1,0.04,0.18151809,-0.90771252,-0.52892931
1,0.06,0.16027791,-0.90417249,-0.53124864
1,0.08,0.1660152,-0.90783459,-0.52770861
1,0.1,0.1428219,-0.90966564,-0.5078112
1,0.12,0.09350562,-0.91113048,-0.48083373
1,0.14,0.00866697,-0.91650156,-0.45825078
1,0.16,-0.08312967,-0.91882089,-0.39880269
1,0.18,-0.16394001,-0.92675544,-0.32568276
1,0.2,-0.24963315,-0.93639897,-0.2539056
1,0.22,-0.32849037000000003,-0.94872804,-0.21203559
1,0.24,-0.4003896,-0.952146,-0.20214792
1,0.26,-0.45324591000000003,-0.952146,-0.19946238
1,0.28,-0.50439324,-0.96081297,-0.21374457
1,0.3,-0.537108,-0.95593017,-0.22021428
1,0.32,-0.51806508,-0.97179927,-0.1928706
1,0.34,-0.47387574,-0.97765863,-0.15759237
1,0.36,-0.44604378,-0.98083245,-0.14355432
1,0.38,-0.41088762,-0.98217522,-0.13342251
1,0.4,-0.36205962,-0.98949942,-0.1330563
1,0.42,-0.31945719,-0.98571525,-0.15759237
1,0.44,-0.27685476,-0.9782689800000001,-0.19457958
1,0.46,-0.23644959000000002,-0.97546137,-0.22192326
1,0.48,-0.183105,-0.97387446,-0.24584898
1,0.5,-0.13195767,-0.96996822,-0.25561458
1,0.52,-0.0988767,-0.9730199700000001,-0.26538018
1,0.54,-0.06762678,-0.9746068800000001,-0.25768977
1,0.56,-0.03332511,-0.97509516,-0.25305111
1,0.58,-0.02661126,-0.97521723,-0.23779236
1,0.6,-0.01171872,-0.97936761,-0.22924746000000001
1,0.62,-0.01733394,-0.98742423,-0.22619571
1,0.64,-0.03247062,-0.97387446,-0.22973574
1,0.66,-0.04858386,-0.9656957700000001,-0.23242128
1,0.68,-0.04968249,-0.9709447800000001,-0.23327577
1,0.7000000000000001,0.01086423,-0.90990978,-0.195312
1,0.72,-0.01318356,-0.97912347,-0.20764107
1,0.74,-0.04333485,-0.96239988,-0.20446725
