label,time_s,x_g,y_g,z_g
1,0.0,-0.06762678,-0.96789303,-0.23657166000000002
1,0.02,-0.06372054,-1.01574447,-0.23120058000000002
1,0.04,-0.08630349,-1.01452377,-0.19091748
1,0.06,-0.15515097,-0.98864493,-0.17797806
1,0.08,-0.19311474,-0.9919408200000001,-0.15246543
1,0.1,-0.16809039,-1.00402575,-0.11376924000000001
1,0.12,-0.09655737,-0.9960912000000001,-0.09008766
1,0.14,-0.10229466,-1.01720931,-0.12170379
1,0.16,-0.10766574,-0.9992650200000001,-0.16210896
1,0.18,-0.18102981,-0.99377187,-0.23742615
1,0.2,-0.20593209,-0.9204078,-0.2832024
1,0.22,-0.2087397,-0.94640871,-0.23046816
1,0.24,-0.21997014,-0.96227781,-0.27844167000000003
1,0.26,-0.2001948,-0.94543215,-0.27294852000000003
1,0.28,-0.17748978,-0.94665285,-0.28698657
1,0.3,-0.15710409,-0.9326148,-0.28344654
1,0.32,-0.10839816000000001,-0.9437231700000001,-0.27612234
1,0.34,-0.1062009,-0.9494604600000001,-0.32617104
1,0.36,-0.12292449,-0.91271739,-0.37280178
1,0.38,-0.12304656,-0.86730735,-0.30895917
1,0.4,-0.16821246,-0.8603493600000001,-0.45056037
1,0.42,-0.17687943,-0.96703854,-0.57580419
1,0.44,-0.15917928,-0.92077401,-0.56725929
1,0.46,-0.15966756000000001,-0.88451922,-0.50744499
1,0.48,-0.13403286,-0.8764626,-0.45800664
1,0.5,-0.12097137000000001,-0.91137462,-0.45251349
1,0.52,-0.15563925,-0.89587173,-0.46179081
1,0.54,-0.18273879,-0.9045387,-0.48351927
1,0.56,-0.22631778,-0.89977797,-0.48889035000000003
1,0.58,-0.23547303,-0.90368421,-0.46459842
1,0.6,-0.22033635000000001,-0.90588147,-0.45641973
1,0.62,-0.1977534,-0.90527112,-0.39453024000000003
1,0.64,-0.18212844,-0.94018314,-0.39330954
1,0.66,-0.18713331,-0.92468025,-0.3820791
1,0.68,-0.22045842000000002,-0.92724372,-0.38732811
1,0.7000000000000001,-0.21496527,-0.92944098,-0.38391015
1,0.72,-0.16735797,-0.93664311,-0.32739174
1,0.74,-0.13659633000000002,-0.94897218,-0.27941823
1,0.76,-0.16894488,-0.95422119,-0.25036557
1,0.78,-0.18054153,-0.96239988,-0.22326603
1,0.8,-0.1745601,-0.96093504,-0.20788521000000001
1,0.8200000000000001,-0.15527304,-0.9680151,-0.18835401000000002
1,0.84,-0.1416012,-0.98180901,-0.18298293000000002
1,0.86,-0.12048309,-0.97155513,-0.13940394
1,0.88,-0.09875463,-0.97887933,-0.11621064
1,0.9,-0.0830076,-0.97875726,-0.08288553
1,0.92,-0.08251932000000001,-0.97204341,-0.08593728
1,0.9400000000000001,-0.08691384,-0.96178953,-0.11975067
1,0.96,-0.07727031,-0.94701906,-0.15856893
1,0.98,-0.05761704,-0.93639897,-0.17639115
1,1.0,-0.031127850000000002,-0.92089608,-0.19421337
1,1.02,-0.014892540000000001,-0.91479258,-0.18749952
1,1.04,-0.01794429,-0.9017310900000001,-0.20654244
1,1.06,-0.01110837,-0.85803003,-0.20068308
1,1.08,-0.00524901,-0.91979745,-0.23742615
1,1.1,-0.01513668,-0.88464129,-0.2368158
1,1.12,-0.00256347,-0.82897737,-0.19482372
1,1.1400000000000001,-0.00915525,-0.83471466,-0.19250439
1,1.16,-0.0034179600000000003,-0.8251932,-0.2050776
1,1.18,-0.01599117,-0.79553019,-0.22375431
1,1.2,-0.0074462700000000005,-0.79076946,-0.20727486
1,1.22,-0.01025388,-0.756834,-0.16894488
1,1.24,-0.01281735,-0.74377251,-0.17272905
1,1.26,-0.01721187,-0.66393873,-0.17309526
1,1.28,-0.0034179600000000003,-0.71545227,-0.20336862
1,1.3,-0.02282709,-0.60705411,-0.16455036
1,1.32,-0.01306149,-0.62780601,-0.17443803
1,1.34,0.01037595,-0.56323098,-0.146484
1,1.36,-0.04431141,-0.4748523,-0.13818324
1,1.3800000000000001,0.01147458,-0.44604378,-0.12255828
1,1.4000000000000001,0.01562496,-0.30334395000000003,-0.10400364000000001
1,1.42,0.00512694,-0.47155641,-0.17040972000000001
1,1.44,0.0146484,-0.19543407000000002,-0.09338355
1,1.46,0.03723135,-0.19262646,-0.10534641
1,1.48,0.01867671,-0.24267516,-0.16540485
1,1.5,0.08093241,-0.22375431,-0.21545355
1,1.52,0.01440426,-0.056884620000000004,-0.09216285
1,1.54,0.01477047,-0.07055646,-0.11730927000000001
1,1.56,0.07958964,0.02795403,-0.16308552
1,1.58,0.07653789,0.14929161,-0.18945264
1,1.6,0.07507305,0.23095644,-0.15441855000000002
1,1.62,0.0830076,0.29992599000000003,-0.10937472000000001
1,1.6400000000000001,0.16088826,0.0915525,-0.40429584
1,1.6600000000000001,0.11157198,0.14392053,-0.20275827
1,1.68,0.08581521,0.45483282,0.02368158
1,1.7,0.16406208,0.5151354,0.01647945
1,1.72,0.14001429,0.5224596,0.03124992
1,1.74,0.09167457,0.5374742100000001,-0.06201156
1,1.76,0.00097656,0.55895853,-0.00061035
1,1.78,3.99986769,2.8428882300000002,3.62157276
1,1.8,3.99986769,-0.29003832,3.99986769
1,1.82,2.14037538,0.65270829,0.5322252
1,1.84,0.55431987,0.04504383,-0.12170379
1,1.86,0.3820791,0.0068359200000000005,0.26879814
1,1.8800000000000001,-0.64977861,-0.25927668,-0.24377379
1,1.9000000000000001,0.79040325,-0.14147913,-0.40551654
1,1.92,-0.00695799,0.13977015,1.09423548
1,1.94,-0.35058504,-0.05187975,-0.79760538
1,1.96,0.77038377,-0.04724109,-0.21264594
1,1.98,-0.42431532,0.20300241,1.88170905
1,2.0,-0.0451659,0.09997533,-1.56164151
1,2.02,0.61694178,0.14208948,0.48034545
1,2.04,-0.15783651,0.26147394,2.17943778
1,2.06,0.96154539,-0.05224596,-1.81627953
1,2.08,2.0190378,-0.03710928,2.27453031
1,2.1,3.59398494,-0.56298684,1.45605096
1,2.12,2.69908977,-0.81518346,-0.77111619
1,2.14,1.33568994,-0.28955004,1.07458221
1,2.16,0.84216093,-0.14013636000000002,0.34362705
1,2.18,0.26916435,-0.22241154,-0.82433871
1,2.2,0.65930007,-0.0537108,1.06298556
1,2.22,0.79028118,0.08630349,0.97802484
1,2.24,0.66833325,-0.15002403,-0.47473023000000003
1,2.2600000000000002,1.32848781,-0.19091748,0.9284644200000001
1,2.2800000000000002,1.11828327,0.22631778,1.04174538
1,2.3000000000000003,0.95800536,-0.40417377,-0.73657038
