label,time_s,x_g,y_g,z_g
1,0.0,-0.013549770000000001,-0.81384069,0.26965263
1,0.02,0.0561522,-0.77087205,0.28576587
1,0.04,0.03222648,-0.68188302,0.22851504
1,0.06,0.04895007,-0.65197587,0.14611779
1,0.08,0.07824687,-0.64501788,0.13989222
1,0.1,0.07238751,-0.659178,0.15881307
1,0.12,0.08374002,-0.67407054,0.14575158
1,0.14,0.12634245,-0.68542305,0.16284138
1,0.16,0.18151809,-0.72082335,0.1904292
1,0.18,0.16870074000000002,-0.7047101100000001,0.22729434
1,0.2,0.17126421,-0.71581848,0.24804624
1,0.22,0.20581002,-0.73742487,0.23303163000000002
1,0.24,0.22961367,-0.76879686,0.19860789
1,0.26,0.21032661,-0.8166483,0.1940913
1,0.28,0.21179145,-0.87487569,0.18640089
1,0.3,0.21618597,-0.91930917,0.1892085
1,0.32,0.18249465,-0.96716061,0.25768977
1,0.34,0.20739693,-1.02795147,0.26330499
1,0.36,0.16332966000000002,-0.99316152,0.30078048
1,0.38,0.11816376,-0.98803458,0.28185963
1,0.4,0.09167457,-1.01305893,0.31481853
1,0.42,0.11523408,-1.00671129,0.30798261
1,0.44,0.09509253,-0.98205315,0.24401793
1,0.46,0.07629375000000001,-0.95617431,0.22375431
1,0.48,0.07653789,-0.97631586,0.23754822
1,0.5,0.1037595,-0.9753393,0.22924746000000001
1,0.52,0.12426726,-0.97948968,0.17944290000000002
1,0.54,0.11279268,-0.97082271,0.20056101
1,0.56,0.0891111,-0.94933839,0.21313422
1,0.58,0.09472632,-0.93566655,0.1855464
1,0.6,0.09851049,-0.9085670100000001,0.17370561
1,0.62,0.10449192,-0.86828391,0.20654244
1,0.64,0.11181612,-0.8137186200000001,0.19470165
1,0.66,0.11144991,-0.81762486,0.1379391
1,0.68,0.11267061,-0.8939186100000001,0.12744108
1,0.7000000000000001,0.10217259000000001,-0.94714113,0.11926239
1,0.72,0.06140121,-0.96960201,0.1196286
1,0.74,0.02917473,-1.00512438,0.14489709
1,0.76,0.02124018,-0.99792225,0.17260698
1,0.78,0.01721187,-0.94885011,0.15087852000000002
1,0.8,0.03308097,-0.93114996,0.14294397
1,0.8200000000000001,0.1147458,-0.96239988,0.13415493
1,0.84,0.11914032000000001,-0.97314204,0.09265113
1,0.86,0.10021947,-1.0205052000000001,0.06445296
1,0.88,0.08068827,-1.06384005,0.11486787
1,0.9,0.07995585,-1.09753137,0.13134732
1,0.92,0.07116681,-1.08056364,0.12927213
1,0.9400000000000001,0.08654763,-1.05199926,0.17126421
1,0.96,0.11450166,-0.99511464,0.15734823
1,0.98,0.14685021,-0.97131099,0.15698202
1,1.0,0.17785599,-0.99706776,0.14953575
1,1.02,0.18212844,-1.00988511,0.12121551
1,1.04,0.17639115,-1.00610094,0.13378872
1,1.06,0.1354977,-0.95068116,0.16552692
1,1.08,0.08837868,-0.95129151,0.18029739
1,1.1,0.06054672,-1.000974,0.17163042
1,1.12,0.023315370000000002,-0.9981663900000001,0.14929161
1,1.1400000000000001,0.05480943,-1.00512438,0.16870074000000002
1,1.16,0.13232388,-0.99133047,0.17871048
1,1.18,0.2038569,-0.9761937900000001,0.1660152
1,1.2,0.22216740000000001,-0.92724372,0.12707487
1,1.22,0.22485294,-0.86645286,0.11059542
1,1.24,0.20117136,-0.83764434,0.14709435
1,1.26,0.17919876,-0.84142851,0.15563925
1,1.28,0.17675736,-0.86047143,0.1806636
1,1.3,0.18505812,-0.92785407,0.17040972000000001
1,1.32,0.23791443,-0.93859623,0.12438933
1,1.34,0.19262646,-0.72155577,0.08471658
1,1.36,0.06677229,-0.32934486,0.06982404
1,1.3800000000000001,0.06799299,-0.07519512,0.07189923
1,1.4000000000000001,0.02795403,-0.054199080000000004,-0.00073242
1,1.42,0.01135251,-0.02099604,-0.00952146
1,1.44,0.01062009,-0.018188430000000002,-0.01000974
1,1.46,0.0048828,-0.02270502,-0.01159665
1,1.48,0.00988767,-0.02355951,-0.01171872
1,1.5,0.01037595,-0.0195312,-0.01440426
1,1.52,0.00817869,-0.02343744,-0.01110837
1,1.54,0.00915525,-0.02343744,-0.01257321
1,1.56,0.01037595,-0.02233881,-0.01562496
1,1.58,0.00939939,-0.0231933,-0.00927732
1,1.6,0.0036621,-0.02587884,-0.012207
1,1.62,0.01171872,-0.02673333,-0.01196286
1,1.6400000000000001,0.00720213,-0.02893059,-0.01025388
1,1.6600000000000001,0.008422830000000001,-0.03161613,-0.00720213
1,1.68,0.01123044,-0.03137199,-0.01123044
1,1.7,0.00708006,-0.03137199,-0.00952146
1,1.72,0.01013181,-0.02880852,-0.00646971
1,1.74,0.00646971,-0.03478995,-0.01037595
1,1.76,0.00537108,-0.02990715,-0.01062009
1,1.78,0.00537108,-0.03601065,-0.01257321
1,1.8,0.0074462700000000005,-0.03649893,-0.01110837
1,1.82,0.00378417,-0.03735342,-0.0054931500000000005
1,1.84,0.0048828,-0.03552237,-0.010986300000000001
1,1.86,0.00671385,-0.04211415,-0.00927732
1,1.8800000000000001,0.00317382,-0.04284657,-0.00891111
1,1.9000000000000001,0.0,-0.04809558,-0.00964353
1,1.92,0.00024414,-0.05175768,-0.01025388
1,1.94,-3.99986769,-3.99986769,3.61607961
1,1.96,-0.10241673,-2.01915987,-0.29345628
1,1.98,0.05078112,0.12145965,-0.01110837
1,2.0,0.07604961,0.05761704,-0.03723135
1,2.02,0.06262191,-0.00317382,-0.04541004
1,2.04,0.05090319,0.05895981,-0.04846179
1,2.06,0.04443348,0.02697747,-0.05920395
1,2.08,0.03979482,0.02490228,-0.05517564
1,2.1,0.04992663,0.05456529,-0.052856310000000004
1,2.12,0.05529771,0.02368158,-0.05529771
1,2.14,0.04919421,0.04052724,-0.04772937
1,2.16,0.05639634,0.04077138,-0.05102526
1,2.18,0.04919421,0.03015129,-0.05310045
1,2.2,0.05029284,0.04382313,-0.05310045
1,2.22,0.05139147,0.03259269,-0.05883774
1,2.24,0.05236803,0.02880852,-0.0524901
1,2.2600000000000002,0.047973510000000004,0.0378417,-0.05810532
1,2.2800000000000002,0.35754303,0.03613272,-0.02783196
1,2.3000000000000003,0.70336734,0.00390624,-0.38952537
1,2.32,1.47509388,1.15075389,-1.89867678
1,2.34,2.9937667500000003,3.1142498400000003,-2.41588737
1,2.36,3.1719889500000003,2.51244474,-1.25133957
1,2.38,1.60253496,0.87573018,0.31957926000000003
1,2.4,0.74999808,0.32031168,0.23705994
1,2.42,0.41918838,0.12780729,0.17102007
1,2.44,0.32629311,0.05224596,0.21789495
1,2.46,0.22997988,-0.09313941,0.30773847
1,2.48,0.28893969,-0.30187911,0.41162004
1,2.5,0.35900787,-0.63952473,0.45117072
1,2.52,0.48510618,-0.97656,0.46838259
1,2.54,0.65734695,-1.1336640900000001,0.39160056
1,2.56,0.67858713,-0.88085712,0.18737745
1,2.58,0.6567366,-0.64611651,0.10266087
1,2.6,0.70617495,-0.50305047,0.06848127
1,2.62,0.8850075000000001,-0.46325565,0.06115707
1,2.64,1.0913058,-0.42553602,0.13244595
1,2.66,1.20251157,-0.37683009,0.22436466
1,2.68,1.13317581,-0.32153238,0.22387638
1,2.7,0.90868908,-0.3881826,0.16528278
1,2.72,0.82250766,-0.47204469,0.16784625
1,2.74,0.81078894,-0.50402703,0.19970652
1,2.7600000000000002,0.87743916,-0.44482308,0.23718201
1,2.7800000000000002,0.92565681,-0.42700086,0.19323681
1,2.8000000000000003,0.90795666,-0.45275763,0.16064412
1,2.82,0.8760963900000001,-0.44628792,0.20800728000000002
1,2.84,0.8813454000000001,-0.45251349,0.21044868
1,2.86,0.9094215,-0.45007209,0.17614701
1,2.88,0.89562759,-0.44518929,0.1977534
1,2.9,0.87707295,-0.45458868,0.20397897
1,2.92,0.8947731,-0.44958381000000003,0.19152783
1,2.94,0.89709243,-0.44640999000000003,0.19360302000000001
1,2.96,0.88818132,-0.44970588,0.19946238
1,2.98,0.88671648,-0.44494515,0.19433544
