label,time_s,x_g,y_g,z_g
0,0.0,-0.11413545,-0.99218496,0.12463347
0,0.02,-0.13269009,-0.85253688,0.12646452
0,0.04,-0.14453088,-0.75390432,0.1306149
0,0.06,-0.12646452,-0.69665349,0.12158172
0,0.08,-0.09338355,-0.66967602,0.12499968
0,0.1,-0.06152328,-0.67040844,0.13537563
0,0.12,-0.0512694,-0.68224923,0.08203104
0,0.14,-0.04992663,-0.74658012,-0.10790988
0,0.16,-0.02099604,-0.83849883,-0.25134213
0,0.18,0.01928706,-0.89318619,-0.28857348
0,0.2,0.06115707,-0.8839088700000001,-0.27966237
0,0.22,0.10436985,-0.79650675,-0.28771899
0,0.24,0.12036102,-0.76696581,-0.31664958
0,0.26,0.13537563,-0.8834205900000001,-0.29089281
0,0.28,0.19262646,-1.10876181,-0.24731382000000002
0,0.3,0.22302189,-1.30260897,-0.24536070000000001
0,0.32,0.15454062,-1.43688597,-0.3063957
0,0.34,0.05224596,-1.5112266,-0.36425688
0,0.36,-0.01123044,-1.60473222,-0.41638077
0,0.38,-0.01647945,-1.6394001,-0.37585353
0,0.4,-0.02697747,-1.39098765,-0.30773847
0,0.42,-0.12988248,-0.952146,-0.23937927
0,0.44,-0.20397897,-0.60461271,-0.13342251
0,0.46,-0.26525811,-0.41235246000000003,0.00781248
0,0.48,-0.32263101,-0.28759692,0.11035128
0,0.5,-0.42516981,-0.20190378,0.10693332
0,0.52,-0.48376341,-0.17639115,0.09130836
0,0.54,-0.50756706,-0.17785599,-0.00427245
0,0.56,-0.48132201,-0.14587365,-0.10058568
0,0.58,-0.43688853,-0.07604961,-0.13269009
0,0.6,-0.3637686,-0.02233881,-0.10839816000000001
0,0.62,-0.29943771,-0.05969223,-0.09802221
0,0.64,-0.25793391,-0.18237258,-0.09240699000000001
0,0.66,-0.24621519,-0.35266023,-0.09936498
0,0.68,-0.29003832,-0.68749824,-0.15319785
0,0.7000000000000001,-0.40881243,-1.02807354,-0.17956497
0,0.72,-0.57067725,-1.34606589,-0.24255309
0,0.74,-0.72241026,-1.42394655,-0.29113695
0,0.76,-0.84362577,-1.42638795,-0.46472049
0,0.78,-1.13927931,-1.73656782,-0.63378744
0,0.8,-1.20946956,-2.39806515,-0.79992471
0,0.8200000000000001,-0.8409402300000001,-3.10997739,-1.03246806
0,0.84,-0.80358681,-3.96922812,-1.4167444200000001
0,0.86,-1.26513348,-3.89452128,-1.94066886
0,0.88,-1.07702361,-3.11193051,-2.2021428
0,0.9,-0.76513476,-2.89989492,-1.79467314
0,0.92,-0.65954421,-2.83629645,-1.23473805
0,0.9400000000000001,-0.48205443000000003,-2.5097592,-0.9606909
0,0.96,-0.31420818,-1.90661133,-0.58947603
0,0.98,-0.50463738,-1.32336087,-0.30529707
0,1.0,-0.81823521,-1.23339528,-0.29211351
0,1.02,-0.8781715800000001,-1.39245249,-0.20800728000000002
0,1.04,-0.61547694,-1.48791123,0.16052205
0,1.06,-0.46581912000000003,-1.14404004,0.19103955
0,1.08,-0.54492048,-0.46789431,-0.11169405
0,1.1,-0.44067270000000003,-0.1867671,-0.45800664
0,1.12,-0.22546329,-0.0585936,-0.45336798
0,1.1400000000000001,-0.12377898,0.28845141,0.07946757
0,1.16,-0.16564899,0.7849101,0.50805534
0,1.18,-0.25695735000000003,1.1413545,0.683592
0,1.2,-0.33788976,1.15441599,0.63085776
0,1.22,-0.45263556,0.86803977,0.32617104
0,1.24,-0.40417377,0.45214728,-0.00207519
0,1.26,-0.26245050000000003,0.05273424,-0.02917473
0,1.28,-0.1330563,-0.27282645,-0.04479969
0,1.3,-0.06738264000000001,-0.49536006,-0.08239725
0,1.32,-0.00280761,-0.53161485,-0.07482891
0,1.34,0.1049802,-0.55334331,-0.07739238
0,1.36,0.12194793,-0.47765991,-0.02795403
0,1.3800000000000001,0.10827609,-0.3674307,-0.04443348
0,1.4000000000000001,0.07543926000000001,-0.25854426,-0.11694306
0,1.42,0.06249984,-0.1721187,-0.18237258
0,1.44,0.05236803,-0.11376924000000001,-0.17858841
0,1.46,0.039916890000000003,-0.08825661,-0.19311474
0,1.48,0.06542952,-0.11035128,-0.16039998
0,1.5,0.10156224,-0.19592235,-0.12304656
0,1.52,0.10839816000000001,-0.23828064000000002,-0.03161613
0,1.54,0.06323226,-0.19934031,0.02392572
0,1.56,0.00634764,-0.13769496,-0.012329070000000001
0,1.58,-0.02282709,-0.09545874,-0.01660152
0,1.6,-0.02478021,-0.07153302,-0.01013181
0,1.62,-0.02136225,-0.13745082,-0.02136225
0,1.6400000000000001,-0.03625479,-0.21447699,-0.014892540000000001
0,1.6600000000000001,-0.09167457,-0.27368094,0.00317382
0,1.68,-0.10192845,-0.43310436,0.03454581
0,1.7,-0.18859815,-0.76110645,0.30126876
0,1.72,-0.378417,-0.9716772,0.7838114700000001
0,1.74,-0.66992016,-1.88537115,0.05529771
0,1.76,-0.57031104,-3.99986769,-0.68774238
0,1.78,-0.09594702000000001,-3.99986769,-0.7838114700000001
0,1.8,-0.29345628,-3.99986769,-1.08752163
0,1.82,-0.32897865,-3.76500501,-1.15661325
0,1.84,-0.1416012,-2.17736259,-0.57910008
0,1.86,0.02050776,-1.30944489,-0.15222129
0,1.8800000000000001,0.09777807,-1.35827289,0.02490228
0,1.9000000000000001,0.04541004,-1.48327257,0.0952146
0,1.92,-0.0988767,-1.5368613,0.05102526
0,1.94,-0.29772873,-1.45421991,-0.04956042
0,1.96,-0.49474971,-1.30285311,-0.19836375
0,1.98,-0.55139019,-1.1818817400000001,-0.23913513
0,2.0,-0.38891502,-1.13341995,-0.14611779
0,2.02,-0.22778262,-1.1218233,-0.00695799
0,2.04,-0.14111292,-1.09826379,0.04650867
0,2.06,-0.14184534000000001,-1.01159409,0.03076164
0,2.08,-0.16003377,-0.878904,0.01867671
0,2.1,-0.15832479,-0.77538864,0.03015129
0,2.12,-0.15234336,-0.7226544,0.03149406
0,2.14,-0.11242647,-0.68395821,0.058227390000000004
0,2.16,-0.06494124,-0.6579573,0.08740212
0,2.18,-0.03454581,-0.59960784,0.07092267000000001
0,2.2,-0.02514642,-0.53417832,0.05383287
0,2.22,-0.04089345,-0.48693723,0.039916890000000003
0,2.24,-0.00305175,-0.51501333,0.00671385
0,2.2600000000000002,0.012329070000000001,-0.56359719,0.013671840000000001
0,2.2800000000000002,0.01477047,-0.62841636,-0.00512694
0,2.3000000000000003,0.00708006,-0.6774885,-0.03015129
0,2.32,-0.00659178,-0.70812807,-0.05053698
0,2.34,-0.02148432,-0.71459778,-0.05261217
0,2.36,-0.00024414,-0.7617168,0.01208493
0,2.38,0.03259269,-0.87731709,0.06152328
0,2.4,0.02856438,-0.95690673,0.04309071
0,2.42,-0.00646971,-1.02209211,-0.041259660000000004
0,2.44,-0.073242,-1.10583213,-0.06603987
0,2.46,-0.11413545,-1.14428418,0.06018051
0,2.48,-0.06750471,-1.27721841,0.07299786
0,2.5,-0.00988767,-1.60143633,-0.14953575
0,2.52,-0.04650867,-1.88549322,-0.40161030000000003
0,2.54,-0.08154276,-1.83983904,-0.50475945
0,2.56,-0.05432115,-1.39855599,-0.34521396
0,2.58,-0.02746575,-0.89623794,-0.15661581
0,2.6,-0.04711902,-0.56591652,-0.07629375000000001
0,2.62,-0.08435037000000001,-0.46411014,-0.05541978
0,2.64,-0.07910136,-0.52050648,-0.02404779
0,2.66,-0.03100578,-0.67834299,-0.04211415
0,2.68,0.00463866,-0.891111,-0.04907214
0,2.7,-0.01538082,-1.07336151,-0.09374976
0,2.72,-0.07910136,-1.15099803,-0.17492631
0,2.74,-0.18640089,-1.12365435,-0.22253361
