label,time_s,x_g,y_g,z_g
0,0.0,-0.20483346,-0.78893841,0.29138109
0,0.02,-0.21997014,-0.8477761500000001,0.25695735000000003
0,0.04,-0.18249465,-1.03539774,0.26293878
0,0.06,-0.22204533,-1.13024613,0.25573665
0,0.08,-0.37975977,-1.01354721,0.33129798
0,0.1,-0.36779691000000003,-0.91857675,0.30895917
0,0.12,-0.26159601,-0.87170187,0.32116617000000003
0,0.14,-0.29284593000000003,-0.8729225700000001,0.31274334
0,0.16,-0.43176159000000003,-0.9838842,0.36938382000000003
0,0.18,-0.46557498,-1.10400108,0.32543862
0,0.2,-0.46642947,-1.0655490300000001,0.32507241
0,0.22,-0.317382,-1.02941631,0.38683983
0,0.24,-0.19274853,-1.08837612,0.43810923
0,0.26,-0.29370042,-1.25646651,0.47155641
0,0.28,-0.34326084,-1.19433288,0.46581912000000003
0,0.3,-0.23779236,-1.0913058,0.50146356
0,0.32,-0.29138109,-1.05041235,0.53527695
0,0.34,-0.2770989,-1.01855208,0.53369004
0,0.36,-0.25659114,-1.11230184,0.48766965
0,0.38,-0.14257776,-0.99340566,0.50829948
0,0.4,-0.09851049,-0.9101539200000001,0.49133175
0,0.42,-0.09533667,-0.77746383,0.44848518
0,0.44,-0.05444322,-0.70214664,0.45483282
0,0.46,-0.07751445,-0.7565898600000001,0.42834363000000003
0,0.48,-0.10180638,-0.72472959,0.36328032
0,0.5,-0.07165509,-0.74780082,0.33312903
0,0.52,-0.02136225,-0.74108697,0.38171289
0,0.54,-0.03601065,-0.7408428300000001,0.33715734
0,0.56,-0.00500487,-0.66418287,0.39721578
0,0.58,-0.00415038,-0.5700669,0.39416403
0,0.6,0.05139147,-0.43481334,0.35961822
0,0.62,0.0231933,-0.37621974,0.37316799
0,0.64,-0.01525875,-0.35156160000000003,0.4577625
0,0.66,-0.02502435,-0.38708397,0.36120513
0,0.68,0.01391598,-0.31152264,0.42858777
0,0.7000000000000001,0.14807091,-0.23510682,0.39367575
0,0.72,0.13146939,-0.21765081,0.34191807
0,0.74,0.05432115,-0.18566847,0.3076164
0,0.76,-0.22631778,-0.22058049,0.21557562
0,0.78,-0.19738719,-0.2172846,0.1025388
0,0.8,-0.12780729,-0.35241609,0.08471658
0,0.8200000000000001,0.00573729,-0.54540876,-0.03076164
0,0.84,-0.29247972,-0.79235637,-0.05969223
0,0.86,-0.73547175,-1.05773655,-0.15856893
0,0.88,-0.67077465,-1.45031367,-0.15917928
0,0.9,-0.44421273,-1.77563022,0.02941887
0,0.92,-0.7801493700000001,-2.05700157,-0.00793455
0,0.9400000000000001,-0.99987537,-2.04174282,-0.05395494
0,0.96,-0.82067661,-2.10338817,0.18847608
0,0.98,-0.66784497,-2.36364141,0.52233753
0,1.0,-0.8173807200000001,-2.37511599,0.36364653
0,1.02,-0.82458285,-2.22716715,0.28246998
0,1.04,-0.63525228,-2.51537442,0.43310436
0,1.06,-0.78454389,-2.79625749,0.42541395
0,1.08,-1.16125191,-2.81346936,0.34081944000000003
0,1.1,-1.04821509,-2.93541729,0.29345628
0,1.12,-0.92907477,-3.1551432900000003,0.26135187
0,1.1400000000000001,-1.48608018,-3.05614452,0.13024869
0,1.16,-1.75878456,-2.8931810700000002,-0.10546848
0,1.18,-1.42260378,-2.6132745600000002,-0.28405689
0,1.2,-1.08556851,-2.00573217,-0.67162914
