label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-209,-9640,-2463
1,20.0,405,-8429,-1958
1,40.0,1092,-6905,-331
1,60.0,793,-5636,1113
1,80.0,-927,-5485,203
1,100.0,-2548,-6983,-2052
1,120.0,-2673,-1985,-1996
1,140.0,-1040,-10971,-5394
1,160.0,-7,-8589,-6057
1,180.0,979,-7799,-5134
1,200.0,1901,-7712,-3144
1,220.0,2272,-8224,-1956
1,240.0,1434,-8373,-800
1,260.0,-104,-8343,-394
1,280.0,-1110,-8349,-993
1,300.0,-1548,-8262,-1634
1,320.0,-1230,-8077,-2276
1,340.0,-453,-7589,-2414
1,360.0,-30,-7645,-1678
1,380.0,47,-8170,-1095
1,400.0,-687,-8127,-1692
1,420.0,-826,-8006,-2606
1,440.0,-901,-7882,-3103
1,460.0,-1115,-7714,-2911
1,480.0,-1578,-7800,-3062
1,500.0,-1846,-7928,-2312
1,520.0,-2093,-8053,-1859
1,540.0,-2217,-8125,-1478
1,560.0,-2290,-8183,-1138
1,580.0,-2379,-8322,-554
1,600.0,-2600,-8402,-276
1,620.0,-2640,-8175,-362
1,640.0,-2337,-7827,-564
1,660.0,-2194,-7921,-1209
1,680.0,-1538,-8257,-1849
1,700.0,-947,-7934,-1448
1,720.0,-225,-7558,-591
1,740.0,10,-7583,-1285
1,760.0,62,-7915,-2776
1,780.0,63,-7974,-2750
1,800.0,0,-7755,-1402
1,820.0,-132,-7644,-1028
1,840.0,-131,-7670,-2148
1,860.0,-228,-7754,-3044
1,880.0,-292,-7581,-2251
1,900.0,-349,-7412,-1017
1,920.0,-297,-7415,-1329
1,940.0,-208,-7508,-2625
1,960.0,-171,-7610,-2829
1,980.0,-257,-7279,-1593
1,1000.0,-359,-7164,-898
1,1020.0,-261,-7119,-1744
1,1040.0,-187,-7213,-2727
1,1060.0,-171,-7066,-2208
1,1080.0,-238,-6799,-1009
1,1100.0,-284,-6731,-993
1,1120.0,-235,-6716,-2141
1,1140.0,-179,-6659,-2530
1,1160.0,-195,-6373,-1484
1,1180.0,-251,-6147,-618
1,1200.0,-220,-5958,-1205
1,1220.0,-13,-5766,-2167
1,1240.0,-99,-5692,-1702
1,1260.0,-135,-5642,-778
1,1280.0,-104,-4940,-647
1,1300.0,49,-5013,-1665
1,1320.0,-48,-4527,-1859
1,1340.0,-31,-4341,-1140
1,1360.0,-93,-3705,-434
1,1380.0,23,-3406,-837
1,1400.0,148,-2856,-1493
1,1420.0,92,-2558,-1429
1,1440.0,125,-2250,-836
1,1460.0,104,-1315,-619
1,1480.0,205,-846,-1033
1,1500.0,268,-337,-1292
1,1520.0,203,298,-982
1,1540.0,238,891,-645
1,1560.0,378,1232,-784
1,1580.0,277,1558,-855
1,1600.0,176,1610,-1071
1,1620.0,373,2063,-1069
1,1640.0,341,2206,-1186
1,1660.0,-52,3078,1114
1,1680.0,-70,3657,926
1,1700.0,159,3928,-1790
1,1720.0,868,4160,-6081
1,1740.0,1,4374,916
1,1760.0,-123,4202,4452
1,1780.0,-32767,32767,32767
1,1800.0,-32767,8635,-32767
1,1820.0,-6262,-1352,-3373
1,1840.0,-12125,416,-3162
1,1860.0,-7515,-11682,-18799
1,1880.0,-4583,-14616,-16456
1,1900.0,172,-16781,-10182
1,1920.0,5255,-18049,-19137
1,1940.0,3987,-11773,-9914
1,1960.0,4856,-6113,-2938
1,1980.0,4553,-977,-5534
1,2000.0,-1716,2552,1411
1,2020.0,-1993,3343,4763
1,2040.0,-6199,5428,10484
1,2060.0,-4421,1861,-1881
1,2080.0,2167,-1244,-9423
1,2100.0,1505,-2265,-3565
1,2120.0,5577,-2944,-10476
1,2140.0,4941,-231,-3838
1,2160.0,2776,1567,-3554
1,2180.0,4648,710,-13253
1,2200.0,-32336,3946,32767
1,2220.0,-32767,11114,-32767
1,2240.0,-13699,10981,-21138
1,2260.0,-6340,1495,-15632
1,2280.0,14633,-446,-13872
1,2300.0,818,1851,-6495
1,2320.0,908,1924,-4916
1,2340.0,4027,-823,-9493
1,2360.0,-4012,3463,3665
1,2380.0,642,1152,-4108
1,2400.0,-1508,743,-6239
1,2420.0,-16783,2171,-2278
1,2440.0,-16606,2579,-8975
1,2460.0,-15156,2046,6915
1,2480.0,-620,-1203,-2069
1,2500.0,2160,-2312,-3145
1,2520.0,-4188,-318,1094
1,2540.0,-7069,987,-1938
1,2560.0,-8949,459,-3529
1,2580.0,-13679,810,1627
1,2600.0,-9794,1493,-1081
1,2620.0,-6091,170,-2236
1,2640.0,-7967,761,-527
1,2660.0,-7270,992,-3057
1,2680.0,-6562,408,-2632
1,2700.0,-8635,544,-825
1,2720.0,-8457,561,-1917
1,2740.0,-7355,308,-1839
1,2760.0,-7951,482,-1786
1,2780.0,-7677,504,-2267
1,2800.0,-7768,393,-1648
1,2820.0,-8328,530,-1712
1,2840.0,-8047,531,-1795
1,2860.0,-7812,509,-1714
1,2880.0,-7689,594,-2030
1,2900.0,-7746,513,-1867
1,2920.0,-8068,524,-1664
1,2940.0,-7947,478,-1793
1,2960.0,-7888,526,-1850
1,2980.0,-7878,537,-1801
