label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-570,-8280,-1288
1,20.0,-443,-8036,-1113
1,40.0,-138,-8095,-1864
1,60.0,84,-7933,-2753
1,80.0,109,-7917,-3566
1,100.0,107,-7874,-3630
1,120.0,-29,-7817,-3219
1,140.0,203,-7997,-2363
1,160.0,454,-8134,-1961
1,180.0,293,-8116,-2153
1,200.0,-196,-7926,-2529
1,220.0,-537,-7871,-2422
1,240.0,-634,-8028,-2156
1,260.0,-558,-8037,-2116
1,280.0,-404,-8022,-2232
1,300.0,-296,-8011,-2616
1,320.0,-433,-7916,-2940
1,340.0,-556,-7853,-3139
1,360.0,-708,-7838,-3161
1,380.0,-632,-7841,-3083
1,400.0,-234,-7903,-2813
1,420.0,33,-7920,-2716
1,440.0,153,-7902,-2896
1,460.0,45,-7823,-3267
1,480.0,-255,-7681,-3733
1,500.0,-436,-7583,-4017
1,520.0,-577,-7465,-4270
1,540.0,-650,-7395,-4413
1,560.0,-929,-7262,-4829
1,580.0,-1150,-7104,-5423
1,600.0,-1186,-6906,-6301
1,620.0,-889,-6800,-7043
1,640.0,-271,-6795,-7103
1,660.0,566,-6987,-5824
1,680.0,658,-7293,-3778
1,700.0,146,-7676,-1874
1,720.0,-338,-7878,-1317
1,740.0,-361,-8059,-2236
1,760.0,44,-8060,-2775
1,780.0,-61,-7698,-2093
1,800.0,-458,-7527,-1556
1,820.0,-473,-7652,-2220
1,840.0,-120,-7736,-2736
1,860.0,-52,-7601,-2142
1,880.0,-397,-7520,-1520
1,900.0,-394,-7467,-2005
1,920.0,-145,-7538,-2677
1,940.0,-33,-7429,-2320
1,960.0,-305,-7379,-1645
1,980.0,-354,-7344,-1827
1,1000.0,-127,-7321,-2519
1,1020.0,-51,-7202,-2466
1,1040.0,-258,-7101,-1746
1,1060.0,-388,-7013,-1678
1,1080.0,-117,-6941,-2284
1,1100.0,-58,-6845,-2534
1,1120.0,-266,-6692,-1982
1,1140.0,-370,-6586,-1605
1,1160.0,-200,-6445,-1963
1,1180.0,-58,-6299,-2404
1,1200.0,-244,-6118,-2090
1,1220.0,-345,-5876,-1610
1,1240.0,-238,-5549,-1603
1,1260.0,20,-5535,-2086
1,1280.0,-147,-5246,-2060
1,1300.0,-313,-4879,-1565
1,1320.0,-284,-4530,-1367
1,1340.0,1,-4447,-1738
1,1360.0,-5,-4087,-1706
1,1380.0,-232,-3513,-1302
1,1400.0,-283,-3168,-1248
1,1420.0,-66,-2840,-1361
1,1440.0,48,-2162,-1249
1,1460.0,-114,-1700,-952
1,1480.0,-265,-969,-669
1,1500.0,-44,-427,-719
1,1520.0,71,270,-705
1,1540.0,3,868,-376
1,1560.0,-124,1265,-170
1,1580.0,20,1631,-185
1,1600.0,54,1725,-244
1,1620.0,133,2276,848
1,1640.0,77,2366,313
1,1660.0,195,2345,920
1,1680.0,-87,2330,761
1,1700.0,-116,1513,-1334
1,1720.0,459,2943,771
1,1740.0,128,5217,-1020
1,1760.0,-70,5511,-2935
1,1780.0,1373,5071,5045
1,1800.0,32767,32767,32767
1,1820.0,32767,-7259,-31709
1,1840.0,22677,-19227,-25202
1,1860.0,27229,-23972,-32767
1,1880.0,8348,-15123,-29155
1,1900.0,5117,-7970,-20546
1,1920.0,-7408,1094,-15785
1,1940.0,9727,10654,-16647
1,1960.0,17759,5873,-30928
1,1980.0,5220,4737,6917
1,2000.0,685,-1356,-32767
1,2020.0,4778,3336,-1238
1,2040.0,1180,6553,10996
1,2060.0,2021,5330,-9698
1,2080.0,1022,5933,2688
1,2100.0,7982,3069,-4935
1,2120.0,247,1153,-1508
1,2140.0,1698,2072,-5351
1,2160.0,-10704,3314,-14845
1,2180.0,-32767,-792,32767
1,2200.0,-23014,1636,15261
1,2220.0,-7938,2511,9144
1,2240.0,-2969,1000,9234
1,2260.0,8845,-4450,-18025
1,2280.0,6014,-6262,-8912
1,2300.0,-136,-4722,2519
1,2320.0,-2027,-1243,-10329
1,2340.0,-12717,1707,-469
1,2360.0,-17984,2653,-267
1,2380.0,-9128,1425,-10097
1,2400.0,-7799,977,-4348
1,2420.0,-7915,448,335
1,2440.0,-9038,227,-2062
1,2460.0,-6837,1203,-1823
1,2480.0,-7267,155,-1196
1,2500.0,-8114,585,-2791
1,2520.0,-9549,985,-1562
1,2540.0,-5944,344,-2478
1,2560.0,-8325,568,-2222
1,2580.0,-8547,836,-1366
1,2600.0,-7090,577,-2346
1,2620.0,-8107,683,-2211
1,2640.0,-8118,630,-1626
1,2660.0,-7491,597,-2234
1,2680.0,-8030,676,-2100
1,2700.0,-7965,573,-1824
1,2720.0,-7625,610,-2202
1,2740.0,-8002,664,-2070
1,2760.0,-7761,594,-1872
1,2780.0,-7729,604,-2210
1,2800.0,-7977,650,-1985
1,2820.0,-7736,630,-2022
1,2840.0,-7827,600,-2154
1,2860.0,-7875,610,-1969
1,2880.0,-7798,608,-2068
1,2900.0,-7849,609,-2099
1,2920.0,-7830,601,-1996
1,2940.0,-7799,629,-2090
1,2960.0,-7898,629,-2055
1,2980.0,-7816,636,-2048
