label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,207,-8017,-2602
1,20.0,-87,-7997,-2880
1,40.0,-497,-8041,-2798
1,60.0,-561,-8067,-2179
1,80.0,-414,-7617,-2071
1,100.0,236,-8350,-1956
1,120.0,320,-8196,-1168
1,140.0,-371,-8178,-1267
1,160.0,-762,-8072,-2157
1,180.0,-780,-7989,-3022
1,200.0,-736,-7949,-2487
1,220.0,-505,-8067,-1740
1,240.0,-538,-8089,-1884
1,260.0,-570,-8030,-2269
1,280.0,-367,-8051,-2239
1,300.0,-407,-8074,-2263
1,320.0,-352,-8107,-2103
1,340.0,-153,-8116,-1919
1,360.0,-70,-8153,-1895
1,380.0,119,-8163,-1730
1,400.0,151,-8223,-1468
1,420.0,-155,-8264,-1428
1,440.0,-368,-8312,-1262
1,460.0,-545,-8364,-905
1,480.0,-718,-8417,-536
1,500.0,-521,-8394,-363
1,520.0,-343,-8310,-664
1,540.0,-181,-8169,-1335
1,560.0,-34,-8149,-1643
1,580.0,83,-8127,-1148
1,600.0,152,-8109,-1083
1,620.0,304,-7963,-1868
1,640.0,418,-7972,-2272
1,660.0,99,-8231,-2611
1,680.0,-191,-7960,-2165
1,700.0,-206,-7631,-1629
1,720.0,-247,-7656,-1681
1,740.0,-321,-7952,-2310
1,760.0,-374,-7996,-2666
1,780.0,-213,-7803,-2122
1,800.0,-84,-7700,-1368
1,820.0,-113,-7737,-1750
1,840.0,-310,-7781,-2651
1,860.0,-253,-7709,-2463
1,880.0,-111,-7598,-1410
1,900.0,-145,-7530,-1286
1,920.0,-258,-7585,-2261
1,940.0,-237,-7641,-2606
1,960.0,-162,-7500,-1806
1,980.0,-136,-7334,-1162
1,1000.0,-200,-7259,-1687
1,1020.0,-239,-7321,-2356
1,1040.0,-195,-7261,-2094
1,1060.0,-181,-7055,-1344
1,1080.0,-97,-6944,-1258
1,1100.0,-149,-6865,-1821
1,1120.0,-214,-6850,-2038
1,1140.0,-179,-6681,-1653
1,1160.0,-58,-6406,-1173
1,1180.0,-61,-6251,-1175
1,1200.0,-137,-6059,-1557
1,1220.0,-155,-6138,-1723
1,1240.0,-72,-5777,-1260
1,1260.0,-10,-5393,-730
1,1280.0,-41,-5114,-879
1,1300.0,-64,-4904,-1241
1,1320.0,-41,-4900,-1139
1,1340.0,-18,-4295,-738
1,1360.0,3,-3878,-391
1,1380.0,38,-3308,-500
1,1400.0,77,-2845,-580
1,1420.0,47,-2800,-439
1,1440.0,45,-1989,22
1,1460.0,130,-1387,131
1,1480.0,138,-855,154
1,1500.0,171,-220,287
1,1520.0,204,467,601
1,1540.0,266,1017,821
1,1560.0,302,1433,782
1,1580.0,308,1737,721
1,1600.0,339,1857,847
1,1620.0,571,1788,84
1,1640.0,572,1639,67
1,1660.0,540,622,236
1,1680.0,-94,1667,1980
1,1700.0,-835,5734,2956
1,1720.0,646,4093,2221
1,1740.0,315,5221,7717
1,1760.0,2607,4862,-3010
1,1780.0,32767,32767,-32767
1,1800.0,27953,5075,32767
1,1820.0,-15647,31270,25962
1,1840.0,-16906,27763,14393
1,1860.0,-11804,15842,15563
1,1880.0,-4297,3376,-2136
1,1900.0,1960,-1384,-4135
1,1920.0,3132,-2554,-1811
1,1940.0,9424,-6242,-11791
1,1960.0,7310,-3165,1794
1,1980.0,3058,1365,-2931
1,2000.0,2710,3821,-463
1,2020.0,187,3399,4745
1,2040.0,-2080,5171,5420
1,2060.0,-2549,4729,3552
1,2080.0,-3272,3285,2028
1,2100.0,35,-1235,-6925
1,2120.0,1315,-3006,-6248
1,2140.0,1442,-2861,-3996
1,2160.0,1921,-2554,-3917
1,2180.0,1792,-2311,-4235
1,2200.0,-32767,-4728,32767
1,2220.0,-32767,7223,-2544
1,2240.0,-4936,12182,11919
1,2260.0,-6954,11597,14971
1,2280.0,-1010,10747,4776
1,2300.0,5514,8937,-3602
1,2320.0,4308,-798,-6376
1,2340.0,3985,-3721,-3894
1,2360.0,4410,-3749,-11858
1,2380.0,335,-1979,-1744
1,2400.0,3680,-16544,32767
1,2420.0,5913,1129,21619
1,2440.0,-2201,3684,4870
1,2460.0,2760,344,6991
1,2480.0,4229,2660,2672
1,2500.0,11600,-1620,5779
1,2520.0,9927,-1542,9517
1,2540.0,9815,-1001,419
1,2560.0,7387,-733,7175
1,2580.0,6150,523,3423
1,2600.0,4279,-79,234
1,2620.0,14158,-189,-965
1,2640.0,15275,680,-2034
1,2660.0,4538,452,-3191
1,2680.0,4164,-514,-4959
1,2700.0,11119,-1313,69
1,2720.0,10889,-184,312
1,2740.0,7714,-200,-131
1,2760.0,7165,-251,-401
1,2780.0,8440,-616,1977
1,2800.0,7243,-307,-633
1,2820.0,8254,-546,-278
1,2840.0,8587,-808,67
1,2860.0,8033,-799,-149
1,2880.0,8314,-874,-2
1,2900.0,8584,-762,-79
1,2920.0,8404,-640,-11
1,2940.0,8530,-559,145
1,2960.0,8367,-547,188
1,2980.0,8053,-424,15
