label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,191,-8059,-2414
1,20.0,418,-8102,-2212
1,40.0,350,-8127,-2184
1,60.0,114,-8080,-2270
1,80.0,-125,-8047,-2307
1,100.0,-226,-8072,-2287
1,120.0,-127,-8042,-2362
1,140.0,119,-7999,-2461
1,160.0,200,-7959,-2647
1,180.0,-1,-7962,-2703
1,200.0,-197,-7974,-2599
1,220.0,-396,-7974,-2498
1,240.0,-633,-7961,-2491
1,260.0,-658,-7938,-2732
1,280.0,-350,-7945,-2804
1,300.0,136,-8016,-2740
1,320.0,519,-8026,-2526
1,340.0,765,-8019,-2419
1,360.0,1124,-8044,-2488
1,380.0,1442,-7981,-2890
1,400.0,1600,-7994,-3114
1,420.0,1710,-8008,-2896
1,440.0,1678,-8080,-2489
1,460.0,1662,-8072,-2089
1,480.0,1656,-8077,-2070
1,500.0,1712,-8057,-2294
1,520.0,1800,-8066,-2598
1,540.0,1659,-8007,-2707
1,560.0,1265,-7957,-2396
1,580.0,578,-7944,-1933
1,600.0,110,-8032,-1854
1,620.0,76,-7870,-2263
1,640.0,1144,-7563,-3021
1,660.0,1626,-8071,-3635
1,680.0,682,-7645,-2116
1,700.0,73,-7280,-750
1,720.0,-138,-7895,-1461
1,740.0,-132,-8008,-3141
1,760.0,17,-7711,-2701
1,780.0,-101,-7626,-1221
1,800.0,-348,-7635,-1365
1,820.0,-224,-7817,-2725
1,840.0,-118,-7822,-2908
1,860.0,-129,-7676,-1715
1,880.0,-189,-7547,-1412
1,900.0,-86,-7517,-2312
1,920.0,-49,-7516,-2608
1,940.0,-250,-7515,-2007
1,960.0,-178,-7466,-1538
1,980.0,-15,-7358,-1968
1,1000.0,76,-7283,-2311
1,1020.0,-229,-7339,-2167
1,1040.0,-285,-7181,-1795
1,1060.0,43,-6985,-1877
1,1080.0,133,-6923,-2051
1,1100.0,-93,-6881,-1986
1,1120.0,-357,-6794,-1793
1,1140.0,-65,-6649,-1891
1,1160.0,194,-6429,-1925
1,1180.0,-9,-6273,-1759
1,1200.0,-307,-5893,-1775
1,1220.0,-173,-6070,-1903
1,1240.0,46,-5722,-1940
1,1260.0,84,-5387,-1560
1,1280.0,-98,-4639,-1565
1,1300.0,-40,-5205,-1859
1,1320.0,126,-4639,-1716
1,1340.0,-5,-5010,-1733
1,1360.0,48,-3635,-1238
1,1380.0,228,-3812,-1677
1,1400.0,160,-2739,-1663
1,1420.0,176,-2366,-1493
1,1440.0,232,-1456,-1095
1,1460.0,234,-1522,-1395
1,1480.0,291,-970,-1414
1,1500.0,239,-80,-1303
1,1520.0,357,694,-1037
1,1540.0,388,1336,-880
1,1560.0,407,1757,-883
1,1580.0,365,2105,-767
1,1600.0,430,2324,-622
1,1620.0,533,2336,-375
1,1640.0,458,3235,280
1,1660.0,912,2610,323
1,1680.0,461,3251,-161
1,1700.0,132,3924,175
1,1720.0,-194,3497,333
1,1740.0,-740,6140,1334
1,1760.0,-468,5353,-54
1,1780.0,3333,4530,1290
1,1800.0,32767,-31824,-16968
1,1820.0,-17313,-3309,7828
1,1840.0,-21634,15552,24233
1,1860.0,-15055,20975,11110
1,1880.0,-15779,23276,32688
1,1900.0,-963,17881,11159
1,1920.0,4504,8679,4070
1,1940.0,9485,56,-10080
1,1960.0,13141,-5769,-13033
1,1980.0,5796,-7622,-4306
1,2000.0,3784,-7043,-13147
1,2020.0,-78,-2782,-5365
1,2040.0,-5819,-259,10621
1,2060.0,-5296,1823,4217
1,2080.0,-5192,3291,2496
1,2100.0,-4276,4230,6967
1,2120.0,1313,2092,-1477
1,2140.0,1569,252,-1319
1,2160.0,5498,-3858,-3593
1,2180.0,-32767,6578,-32767
1,2200.0,-32767,-17242,32767
1,2220.0,-10479,9566,19434
1,2240.0,-4815,9324,3579
1,2260.0,-1783,5800,12618
1,2280.0,6116,3225,-931
1,2300.0,6714,-168,-3128
1,2320.0,8266,-2622,-3271
1,2340.0,8635,-4341,-10555
1,2360.0,2716,-3423,-4922
1,2380.0,1064,-695,1528
1,2400.0,-8848,-22115,32767
1,2420.0,-953,2712,32767
1,2440.0,-1421,5037,-2926
1,2460.0,-1229,3417,4854
1,2480.0,1554,3775,8918
1,2500.0,-827,2593,-6784
1,2520.0,2007,-6749,31719
1,2540.0,1259,-613,17977
1,2560.0,-497,-1249,-3363
1,2580.0,1012,-780,2717
1,2600.0,-181,-529,-1785
1,2620.0,10206,-3010,16701
1,2640.0,9788,-1603,9846
1,2660.0,7225,-1363,3019
1,2680.0,4378,-40,3517
1,2700.0,3359,306,-1016
1,2720.0,3484,300,-1616
1,2740.0,32767,-1268,-1190
1,2760.0,6763,270,-3348
1,2780.0,-378,803,-3753
1,2800.0,4707,-286,-4526
1,2820.0,18447,-1003,3942
1,2840.0,7846,148,-1516
1,2860.0,5067,110,-880
1,2880.0,8813,-317,735
1,2900.0,9491,-1000,3160
1,2920.0,6977,-692,-270
1,2940.0,7917,-974,890
1,2960.0,8261,-796,315
1,2980.0,8777,-571,-256
