label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-710,-8014,-2421
1,20.0,-895,-8081,-1933
1,40.0,-866,-8117,-1494
1,60.0,-1173,-8089,-2130
1,80.0,-1059,-8008,-2482
1,100.0,-648,-8044,-2382
1,120.0,-332,-8005,-2415
1,140.0,-168,-8028,-2289
1,160.0,-121,-8049,-2375
1,180.0,-91,-8038,-2287
1,200.0,-215,-8068,-2282
1,220.0,-517,-8110,-2346
1,240.0,-807,-8116,-2250
1,260.0,-747,-8097,-2167
1,280.0,-786,-8013,-2311
1,300.0,-974,-7957,-2408
1,320.0,-1080,-7986,-2401
1,340.0,-1117,-7960,-2520
1,360.0,-1100,-7974,-2530
1,380.0,-1122,-7996,-2472
1,400.0,-1138,-8003,-2368
1,420.0,-1310,-8027,-2377
1,440.0,-1481,-7802,-2429
1,460.0,-1702,-7808,-2185
1,480.0,-1855,-7836,-2362
1,500.0,-2172,-7889,-2652
1,520.0,-2454,-7792,-2976
1,540.0,-2651,-7686,-3209
1,560.0,-2864,-7537,-3378
1,580.0,-3023,-7589,-3448
1,600.0,-3108,-7495,-3401
1,620.0,-3063,-7446,-3542
1,640.0,-2580,-7422,-3550
1,660.0,-1963,-7470,-3423
1,680.0,-1733,-7634,-2476
1,700.0,-1549,-7681,-2487
1,720.0,-1107,-7438,-3023
1,740.0,-855,-7324,-3830
1,760.0,-842,-7486,-3215
1,780.0,-611,-7536,-2962
1,800.0,-314,-7446,-2418
1,820.0,-15,-7566,-2026
1,840.0,165,-7883,-2072
1,860.0,82,-7726,-1965
1,880.0,-117,-7274,-1754
1,900.0,-141,-7134,-1838
1,920.0,-229,-7547,-2109
1,940.0,-329,-7662,-2144
1,960.0,-291,-7415,-2014
1,980.0,-253,-7217,-2056
1,1000.0,-267,-7257,-2151
1,1020.0,-350,-7205,-2012
1,1040.0,-438,-7105,-1900
1,1060.0,-314,-6969,-1950
1,1080.0,-249,-6939,-2025
1,1100.0,-333,-6783,-2009
1,1120.0,-402,-6659,-1900
1,1140.0,-327,-6557,-1848
1,1160.0,-200,-6394,-1857
1,1180.0,-271,-6269,-1850
1,1200.0,-304,-6104,-1754
1,1220.0,-310,-5827,-1641
1,1240.0,-195,-5690,-1687
1,1260.0,-207,-5509,-1667
1,1280.0,-332,-5221,-1631
1,1300.0,-253,-4987,-1591
1,1320.0,-126,-4681,-1486
1,1340.0,-174,-4283,-1375
1,1360.0,-216,-4054,-1364
1,1380.0,-209,-3524,-1356
1,1400.0,-126,-3020,-1239
1,1420.0,-90,-2414,-1096
1,1440.0,-26,-2019,-887
1,1460.0,-97,-1981,-1005
1,1480.0,-45,-1242,-975
1,1500.0,-49,-315,-718
1,1520.0,-64,258,-609
1,1540.0,-15,857,-530
1,1560.0,60,1403,-399
1,1580.0,63,1821,-332
1,1600.0,83,1823,-234
1,1620.0,107,1929,19
1,1640.0,13,920,-757
1,1660.0,247,1992,-2218
1,1680.0,-11,1193,-1568
1,1700.0,373,2764,-768
1,1720.0,116,3021,1604
1,1740.0,-234,6156,1809
1,1760.0,266,6874,-5756
1,1780.0,-44,6704,4737
1,1800.0,-32767,17812,32767
1,1820.0,803,32767,8759
1,1840.0,4506,14902,-13300
1,1860.0,633,-1423,3688
1,1880.0,23327,-5772,-7501
1,1900.0,5168,9057,19338
1,1920.0,1290,7828,-8290
1,1940.0,-3400,15214,32222
1,1960.0,4819,11171,-13127
1,1980.0,389,3813,-8524
1,2000.0,-4570,-1775,1634
1,2020.0,13445,-3901,-11114
1,2040.0,2213,487,-1817
1,2060.0,2149,-662,-26212
1,2080.0,1496,848,10176
1,2100.0,2547,4362,-8407
1,2120.0,-3625,3509,-5649
1,2140.0,684,1813,3767
1,2160.0,5368,757,-7027
1,2180.0,-3903,1620,-25462
1,2200.0,-32767,32767,-32767
1,2220.0,9268,-13927,11053
1,2240.0,14175,-2138,-22046
1,2260.0,-1478,1096,7865
1,2280.0,7074,982,1016
1,2300.0,8460,1564,-8784
1,2320.0,-2873,230,-7286
1,2340.0,3869,-111,4924
1,2360.0,4349,613,14953
1,2380.0,-284,-2326,-5878
1,2400.0,-2307,-1875,15248
1,2420.0,5100,1095,5512
1,2440.0,9333,1007,-19606
1,2460.0,-26044,21414,-21607
1,2480.0,-4774,4459,-1740
1,2500.0,3917,2175,-10681
1,2520.0,-6877,-162,7918
1,2540.0,-25738,21041,18025
1,2560.0,-5014,-8499,-3058
1,2580.0,-3420,-4053,8456
1,2600.0,14065,-3874,-11004
1,2620.0,-29240,20226,-27837
1,2640.0,4604,-1930,298
1,2660.0,26110,-30745,-2170
1,2680.0,-2226,269,8714
1,2700.0,539,-1066,1516
1,2720.0,-81,2699,-2059
1,2740.0,3441,-1873,8778
1,2760.0,477,-1898,256
1,2780.0,-4516,4951,648
1,2800.0,-11853,1160,-1736
1,2820.0,-4915,-137,-3350
1,2840.0,-8955,634,1685
1,2860.0,-8444,1453,1167
1,2880.0,-8076,-123,1136
1,2900.0,-7988,-440,1096
1,2920.0,-8070,735,1301
1,2940.0,-7960,133,1276
1,2960.0,-7932,-477,1286
1,2980.0,-8091,356,1189
