label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-476,-4719,-3148
1,20.0,-544,-4389,-6319
1,40.0,-2824,-3506,-8884
1,60.0,-5239,-2117,-11729
1,80.0,-6204,-2490,-12235
1,100.0,-5881,-2425,-9783
1,120.0,-5553,-1750,-6075
1,140.0,-6541,-2820,-5310
1,160.0,-6645,-2130,-4267
1,180.0,-6233,-848,-4675
1,200.0,-6661,-3443,-7474
1,220.0,-6259,-2051,-8888
1,240.0,-5236,-2138,-9579
1,260.0,-4430,-2188,-9357
1,280.0,-3684,-2531,-7946
1,300.0,-3564,-2822,-6671
1,320.0,-3674,-2732,-6341
1,340.0,-3392,-3367,-6906
1,360.0,-2785,-3591,-7895
1,380.0,-2035,-2911,-8430
1,400.0,-1375,-3215,-8588
1,420.0,-881,-3308,-9223
1,440.0,-1988,-1928,-8888
1,460.0,-2036,-2438,-7717
1,480.0,-2713,-2315,-8476
1,500.0,-3008,-1965,-9588
1,520.0,-2052,-2213,-9746
1,540.0,-1459,-2945,-9618
1,560.0,-1806,-2585,-8936
1,580.0,-2634,-2271,-8577
1,600.0,-2588,-1934,-8212
1,620.0,-1884,-2132,-7966
1,640.0,-1476,-1846,-8157
1,660.0,-897,-1512,-8255
1,680.0,276,-2680,-6876
1,700.0,559,-3071,-5867
1,720.0,215,-3041,-5089
1,740.0,-81,-3611,-4921
1,760.0,-729,-3546,-5235
1,780.0,-1662,-3209,-6116
1,800.0,-2216,-3060,-7253
1,820.0,-2190,-2977,-8240
1,840.0,-1570,-2872,-8603
1,860.0,-1003,-2709,-9115
1,880.0,-511,-2789,-9226
1,900.0,34,-2869,-8621
1,920.0,559,-3142,-7715
1,940.0,578,-3109,-6871
1,960.0,470,-3347,-6384
1,980.0,554,-3440,-5963
1,1000.0,766,-3502,-5960
1,1020.0,595,-3404,-6474
1,1040.0,738,-3383,-7121
1,1060.0,825,-3248,-7475
1,1080.0,796,-3059,-7684
1,1100.0,524,-2994,-7911
1,1120.0,313,-2963,-8177
1,1140.0,192,-2944,-8153
1,1160.0,204,-2969,-8178
1,1180.0,365,-3030,-8002
1,1200.0,585,-3120,-7630
1,1220.0,674,-3371,-7263
1,1240.0,952,-3535,-6537
1,1260.0,992,-3823,-5523
1,1280.0,667,-3955,-4204
1,1300.0,135,-4217,-2695
1,1320.0,-407,-4358,-1283
1,1340.0,-453,-4112,-137
1,1360.0,-212,-2228,933
1,1380.0,345,-2631,-177
1,1400.0,310,-3131,-552
1,1420.0,148,-3362,-268
1,1440.0,-120,-2629,561
1,1460.0,-138,-1739,1026
1,1480.0,262,-1571,686
1,1500.0,-46,-1551,384
1,1520.0,-54,-2715,159
1,1540.0,26,-541,1397
1,1560.0,334,-1518,-749
1,1580.0,372,-120,624
1,1600.0,391,-1065,160
1,1620.0,356,822,661
1,1640.0,541,1350,572
1,1660.0,623,1118,-2
1,1680.0,670,972,144
1,1700.0,736,2055,106
1,1720.0,1050,1329,-191
1,1740.0,32767,32767,27699
1,1760.0,32767,-3273,8611
1,1780.0,-1885,2284,11135
1,1800.0,12630,2730,-3830
1,1820.0,-5091,9177,20203
1,1840.0,-839,10065,-17429
1,1860.0,4613,4969,9275
1,1880.0,-8437,1846,9166
1,1900.0,7222,-5064,-21281
1,1920.0,-611,3384,22435
1,1940.0,402,2338,-14292
1,1960.0,7186,577,-9287
1,1980.0,-5214,1510,26168
1,2000.0,7424,-679,-23735
1,2020.0,1718,3763,6137
1,2040.0,-26330,32185,18186
1,2060.0,-14718,30544,23747
1,2080.0,-32767,8493,12368
1,2100.0,374,-10831,-22624
1,2120.0,5722,-9024,4288
1,2140.0,7714,-7743,-13963
1,2160.0,5129,-3440,-12993
1,2180.0,-6176,-1130,18515
1,2200.0,-1315,1941,-7694
1,2220.0,-7341,4079,6127
1,2240.0,-10650,2314,32767
1,2260.0,-6914,-2110,13713
1,2280.0,-4969,947,10347
1,2300.0,11151,-4881,-12044
1,2320.0,-9998,1059,-2588
1,2340.0,-15972,1348,-22600
1,2360.0,5753,-1323,934
1,2380.0,979,-2447,2384
1,2400.0,6507,-9396,-7965
1,2420.0,-16589,-537,23892
1,2440.0,-4125,1989,4080
1,2460.0,-20077,663,-9973
1,2480.0,-7219,-407,-7030
1,2500.0,-1775,-4983,-1155
1,2520.0,-3721,-4009,-4795
1,2540.0,-12858,289,2959
1,2560.0,-11071,1373,261
1,2580.0,-7395,98,2628
1,2600.0,-6296,-895,861
1,2620.0,-7836,-44,-199
1,2640.0,-9287,-387,455
1,2660.0,-8912,-461,3185
1,2680.0,-6242,-728,2636
1,2700.0,-6696,-497,1712
1,2720.0,-9048,260,-1004
1,2740.0,-9802,172,64
1,2760.0,-7791,-559,2555
1,2780.0,-6373,-695,2801
1,2800.0,-6728,-416,1791
1,2820.0,-9258,108,192
1,2840.0,-9391,102,228
1,2860.0,-7363,-354,1596
1,2880.0,-7004,-482,2186
1,2900.0,-8028,-286,1465
1,2920.0,-8723,-71,840
1,2940.0,-8124,-198,1043
1,2960.0,-7618,-308,1662
1,2980.0,-7713,-342,1345
