label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,-3124,-7490,-3735
1,20.0,-3037,-7375,-3819
1,40.0,-2643,-7348,-3447
1,60.0,-2154,-7372,-2929
1,80.0,-1658,-7687,-2741
1,100.0,-1500,-7757,-2633
1,120.0,-1615,-7768,-2517
1,140.0,-1730,-7758,-2384
1,160.0,-1729,-7863,-2455
1,180.0,-1481,-7734,-2405
1,200.0,-1179,-7673,-2184
1,220.0,-753,-7649,-1948
1,240.0,-628,-7771,-1695
1,260.0,-756,-7204,-1505
1,280.0,-1361,-8448,-2542
1,300.0,-1255,-6962,-1623
1,320.0,-1599,-7577,-2495
1,340.0,-1938,-6945,-1816
1,360.0,-2080,-7676,-1970
1,380.0,-1885,-7159,-2390
1,400.0,-1670,-7453,-2465
1,420.0,-1310,-7766,-2200
1,440.0,-694,-7767,-1927
1,460.0,-233,-7448,-932
1,480.0,173,-7937,-1994
1,500.0,428,-8170,-3889
1,520.0,163,-6854,-351
1,540.0,-782,-7560,-1155
1,560.0,-1912,-6544,-2148
1,580.0,-2703,-6711,-3466
1,600.0,-3235,-6844,-3217
1,620.0,-3714,-11230,-3689
1,640.0,-3837,-5946,-3278
1,660.0,-5039,-6568,-4690
1,680.0,-5450,-6155,-3600
1,700.0,-4911,-7361,-3600
1,720.0,-4183,-7588,-2897
1,740.0,-4044,-7119,-2560
1,760.0,-4290,-7042,-3006
1,780.0,-4776,-6761,-2905
1,800.0,-4950,-6820,-2708
1,820.0,-4584,-7025,-2495
1,840.0,-3783,-7219,-2086
1,860.0,-3251,-7501,-2290
1,880.0,-2994,-7574,-2093
1,900.0,-2665,-7459,-1124
1,920.0,-2650,-7734,-921
1,940.0,-2791,-7974,-1420
1,960.0,-2747,-7968,-1284
1,980.0,-2785,-7877,-1524
1,1000.0,-2480,-7905,-1296
1,1020.0,-2289,-7749,-692
1,1040.0,-2154,-7641,-639
1,1060.0,-2010,-7747,-1179
1,1080.0,-1331,-8317,-1481
1,1100.0,-984,-8130,-1215
1,1120.0,-862,-8308,-937
1,1140.0,-1294,-8280,-663
1,1160.0,-1763,-8435,-1001
1,1180.0,-1692,-8075,-1336
1,1200.0,-1354,-7489,-1072
1,1220.0,-646,-7437,-1442
1,1240.0,369,-6317,-350
1,1260.0,516,-6354,-1651
1,1280.0,352,-5516,-2096
1,1300.0,8,-5295,-1280
1,1320.0,-71,-5252,-1138
1,1340.0,-114,-4157,-1864
1,1360.0,-152,-3573,-1976
1,1380.0,-105,-2833,-838
1,1400.0,237,-2062,-510
1,1420.0,392,-1048,-578
1,1440.0,562,-312,11
1,1460.0,625,-35,607
1,1480.0,114,-199,540
1,1500.0,-17,741,-131
1,1520.0,-87,700,127
1,1540.0,60,627,623
1,1560.0,37,629,-138
1,1580.0,-100,638,182
1,1600.0,14,668,529
1,1620.0,-180,663,84
1,1640.0,-271,684,231
1,1660.0,-85,708,593
1,1680.0,-303,675,243
1,1700.0,-26380,32767,5095
1,1720.0,4161,26181,-9042
1,1740.0,289,-4251,9091
1,1760.0,-5767,-1182,15778
1,1780.0,-15664,-1035,32767
1,1800.0,-32767,-10922,32767
1,1820.0,-25658,11938,13428
1,1840.0,3379,3286,-15960
1,1860.0,-3290,5895,21328
1,1880.0,4985,3167,-3212
1,1900.0,6024,2642,-5291
1,1920.0,-3234,5643,16393
1,1940.0,6086,604,-11687
1,1960.0,8955,-441,-2594
1,1980.0,8804,-2933,4767
1,2000.0,10874,-2693,-1723
1,2020.0,8573,-1572,8266
1,2040.0,-664,18331,-2534
1,2060.0,-12927,7825,-9990
1,2080.0,-21008,6277,-7131
1,2100.0,-12251,6425,-16181
1,2120.0,-11478,2275,-16339
1,2140.0,-12515,-477,-7681
1,2160.0,-509,-676,-6746
1,2180.0,-4303,-713,-2512
1,2200.0,-6656,301,-1195
1,2220.0,-4134,654,-3506
1,2240.0,-11987,1119,-1946
1,2260.0,-7019,918,-5108
1,2280.0,-5338,855,-4786
1,2300.0,-10171,1096,-3353
1,2320.0,-3860,426,-5335
1,2340.0,-7576,1054,-3226
1,2360.0,-8424,868,-3827
1,2380.0,-4615,461,-4941
1,2400.0,-8760,1151,-2820
1,2420.0,-7016,709,-4779
1,2440.0,-5986,716,-4156
1,2460.0,-8718,1058,-3063
1,2480.0,-6020,570,-5101
1,2500.0,-6922,858,-3502
1,2520.0,-7860,895,-3769
1,2540.0,-5956,542,-4838
1,2560.0,-7574,952,-3152
1,2580.0,-7048,808,-4452
1,2600.0,-6613,701,-4218
1,2620.0,-7656,885,-3397
1,2640.0,-6702,716,-4723
1,2660.0,-7185,845,-3710
1,2680.0,-7132,834,-3950
1,2700.0,-6781,761,-4397
1,2720.0,-7287,860,-3568
1,2740.0,-6852,763,-4319
1,2760.0,-7184,843,-3921
1,2780.0,-7038,814,-3928
1,2800.0,-7017,774,-4267
1,2820.0,-7149,856,-3821
1,2840.0,-6861,791,-4143
1,2860.0,-7163,821,-3984
1,2880.0,-6948,792,-4013
1,2900.0,-7035,791,-4083
1,2920.0,-7135,830,-3950
1,2940.0,-6948,756,-4124
1,2960.0,-7171,812,-4004
1,2980.0,-6990,770,-4071
