label,time_ms,x_lsb,y_lsb,z_lsb
1,0.0,868,-4651,6546
1,20.0,1124,-4193,5409
1,40.0,1629,-4353,4981
1,60.0,1178,-4413,5524
1,80.0,1215,-4379,6092
1,100.0,1563,-4867,5416
1,120.0,1406,-4785,5972
1,140.0,1097,-4726,6018
1,160.0,1134,-5057,6541
1,180.0,684,-5599,7162
1,200.0,-36,-5676,7115
1,220.0,-164,-5755,6754
1,240.0,290,-5894,6363
1,260.0,-25,-6003,5987
1,280.0,-348,-6810,5880
1,300.0,-116,-7649,5773
1,320.0,508,-7867,4791
1,340.0,587,-7395,3961
1,360.0,1058,-7326,3749
1,380.0,1446,-8113,3936
1,400.0,893,-6524,3314
1,420.0,1364,-5670,2552
1,440.0,481,-4528,1644
1,460.0,-127,-5264,2803
1,480.0,116,-6664,3689
1,500.0,499,-7093,3001
1,520.0,0,-6754,2360
1,540.0,-107,-6797,2575
1,560.0,503,-7294,3234
1,580.0,758,-7482,3426
1,600.0,669,-7708,2750
1,620.0,754,-7818,1689
1,640.0,848,-7163,1948
1,660.0,606,-6798,2484
1,680.0,1224,-7165,3327
1,700.0,1311,-7821,3477
1,720.0,1833,-7772,2831
1,740.0,2049,-6975,2407
1,760.0,1773,-6962,1520
1,780.0,2004,-6922,1623
1,800.0,1859,-7031,1842
1,820.0,1589,-7077,1720
1,840.0,1379,-6886,1769
1,860.0,1944,-6632,2316
1,880.0,2141,-6320,2295
1,900.0,2615,-6070,2189
1,920.0,2833,-5896,1942
1,940.0,2793,-6567,1771
1,960.0,2134,-7323,1673
1,980.0,1964,-7323,2427
1,1000.0,1183,-7039,2807
1,1020.0,645,-6633,2945
1,1040.0,804,-6599,2828
1,1060.0,1076,-6426,2927
1,1080.0,1504,-6385,2650
1,1100.0,1844,-6664,2452
1,1120.0,2136,-7252,2586
1,1140.0,2376,-7507,2510
1,1160.0,2623,-8017,2322
1,1180.0,2718,-8195,2461
1,1200.0,2150,-7708,2770
1,1220.0,2180,-7487,2958
1,1240.0,2262,-6964,3087
1,1260.0,2363,-6601,2906
1,1280.0,2650,-6690,2727
1,1300.0,2993,-6935,2490
1,1320.0,3182,-6879,2574
1,1340.0,2940,-5674,2568
1,1360.0,2657,-3666,2206
1,1380.0,2402,-1824,1818
1,1400.0,1375,-483,584
1,1420.0,113,-122,-72
1,1440.0,113,-212,-94
1,1460.0,126,-240,-61
1,1480.0,324,-372,-14
1,1500.0,79,-165,-100
1,1520.0,91,-208,-110
1,1540.0,81,-195,-89
1,1560.0,124,-188,-62
1,1580.0,104,-171,-104
1,1600.0,124,-237,-99
1,1620.0,116,-260,-89
1,1640.0,100,-224,-41
1,1660.0,99,-214,-50
1,1680.0,148,-268,-47
1,1700.0,106,-203,-38
1,1720.0,113,-266,-27
1,1740.0,147,-251,-47
1,1760.0,190,-287,-19
1,1780.0,172,-272,-12
1,1800.0,195,-338,-47
1,1820.0,170,-280,-16
1,1840.0,184,-294,-5
1,1860.0,228,-319,61
1,1880.0,201,-325,61
1,1900.0,209,-351,52
1,1920.0,249,-354,76
1,1940.0,32767,-32767,30605
1,1960.0,32767,-32767,32767
1,1980.0,3249,3419,4591
1,2000.0,450,1574,1687
1,2020.0,-561,1016,834
1,2040.0,-246,774,716
1,2060.0,-20,-81,60
1,2080.0,13,214,-87
1,2100.0,19,365,13
1,2120.0,20,-64,-115
1,2140.0,18,91,-219
1,2160.0,-7,178,-246
1,2180.0,28,-83,-393
1,2200.0,-705,2619,355
1,2220.0,-1550,5064,905
1,2240.0,-5044,7426,-45
1,2260.0,-5948,8075,-5671
1,2280.0,-9807,14275,-13759
1,2300.0,-14652,20595,-15926
1,2320.0,-12250,9952,-10551
1,2340.0,-6024,1726,-5109
1,2360.0,-3090,-598,-2138
1,2380.0,-2873,-1147,-810
1,2400.0,-4377,-451,-246
1,2420.0,-6308,-648,-1318
1,2440.0,-8723,-793,-2618
1,2460.0,-10345,394,-2245
1,2480.0,-10012,1221,-1406
1,2500.0,-7355,1029,-1204
1,2520.0,-6465,1084,-1557
1,2540.0,-7334,1355,-2479
1,2560.0,-8191,1512,-3279
1,2580.0,-7864,1477,-3069
1,2600.0,-7334,1202,-2221
1,2620.0,-7674,1076,-2007
1,2640.0,-7921,990,-2242
1,2660.0,-7537,1152,-2448
1,2680.0,-7598,1334,-2464
1,2700.0,-7783,1224,-2360
1,2720.0,-7688,1016,-2294
1,2740.0,-7707,1150,-2324
1,2760.0,-7698,1290,-2418
1,2780.0,-7687,1161,-2401
1,2800.0,-7709,1167,-2293
1,2820.0,-7715,1171,-2323
1,2840.0,-7662,1161,-2397
1,2860.0,-7636,1202,-2331
1,2880.0,-7685,1168,-2298
1,2900.0,-7685,1132,-2352
1,2920.0,-7676,1168,-2370
1,2940.0,-7677,1195,-2323
1,2960.0,-7675,1181,-2345
1,2980.0,-7679,1168,-2318
