label,time_ms,x_lsb,y_lsb,z_lsb
0,0.0,-412,-8657,-1620
0,20.0,-535,-9861,-2047
0,40.0,-527,-10254,-1398
0,60.0,-387,-9753,-879
0,80.0,-346,-9106,-410
0,100.0,-635,-8552,-443
0,120.0,-1098,-8410,-646
0,140.0,-1399,-8374,-780
0,160.0,-1639,-8395,-1010
0,180.0,-1636,-7960,-996
0,200.0,-1202,-7743,-963
0,220.0,-814,-7623,-1259
0,240.0,-499,-7513,-1417
0,260.0,-420,-7428,-1604
0,280.0,-399,-7353,-2497
0,300.0,-535,-7078,-3086
0,320.0,-454,-6554,-2939
0,340.0,-491,-6518,-2384
0,360.0,-160,-7362,-2540
0,380.0,132,-9213,-3629
0,400.0,327,-11194,-3429
0,420.0,475,-12973,-3178
0,440.0,-184,-12707,-2786
0,460.0,-1158,-10845,-2885
0,480.0,-2290,-8962,-3116
0,500.0,-2790,-7917,-2694
0,520.0,-2503,-6668,-1532
0,540.0,-2098,-4658,-469
0,560.0,-2123,-2530,186
0,580.0,-2433,-869,702
0,600.0,-2967,-13,1280
0,620.0,-3683,235,1352
0,640.0,-4086,-49,688
0,660.0,-3697,-548,411
0,680.0,-2789,-1610,212
0,700.0,-1919,-2373,925
0,720.0,-1526,-3155,1096
0,740.0,-1645,-4475,937
0,760.0,-2242,-6192,339
0,780.0,-2900,-7658,-550
0,800.0,-4146,-9176,-1989
0,820.0,-5324,-11016,-3457
0,840.0,-5805,-12888,-3170
0,860.0,-5224,-15146,-2030
0,880.0,-6600,-15728,230
0,900.0,-6426,-18222,70
0,920.0,-3892,-22591,-3961
0,940.0,-4063,-30166,-8181
0,960.0,-2212,-32767,-10236
0,980.0,481,-32767,-10814
0,1000.0,704,-32036,-11060
0,1020.0,921,-27711,-12131
0,1040.0,3380,-25512,-9100
0,1060.0,4146,-19377,-4004
0,1080.0,2479,-10447,-1045
0,1100.0,1785,-3148,-88
0,1120.0,-215,-1089,-743
0,1140.0,-3016,-6659,-2227
0,1160.0,-4841,-12402,-1490
0,1180.0,-5180,-18551,644
0,1200.0,-5270,-15221,1149
0,1220.0,-4503,-8797,-492
0,1240.0,-3396,-2413,567
0,1260.0,-1485,1369,3012
0,1280.0,1458,7319,7479
0,1300.0,3340,10834,6728
0,1320.0,5,11156,1819
0,1340.0,-3101,7951,-1325
0,1360.0,-3310,4057,-2394
0,1380.0,-1134,430,-1590
0,1400.0,1840,-2446,1021
0,1420.0,3363,-3781,2693
0,1440.0,3048,-3316,1815
0,1460.0,1513,-2814,268
0,1480.0,2,-2241,-641
0,1500.0,-1127,-2396,-2158
0,1520.0,-1644,-2767,-3470
0,1540.0,-1002,-3357,-3453
0,1560.0,-95,-3865,-2547
0,1580.0,-36,-3675,-2036
0,1600.0,239,-2799,-1937
0,1620.0,575,-1625,-1216
0,1640.0,1001,-296,-348
0,1660.0,823,69,-253
0,1680.0,343,-95,-667
0,1700.0,311,-150,-571
0,1720.0,239,-172,-181
0,1740.0,-179,-47,-352
0,1760.0,-242,-242,-362
0,1780.0,-543,-1060,-227
0,1800.0,-506,-3152,95
0,1820.0,-529,-5283,1255
0,1840.0,-2142,-5852,3661
0,1860.0,-4781,-5084,4972
0,1880.0,-5217,-13791,2597
0,1900.0,-4300,-30552,-2336
0,1920.0,-6730,-32767,-10743
0,1940.0,-8715,-32507,-12982
0,1960.0,-4469,-20015,-7666
0,1980.0,-846,-12662,-3757
0,2000.0,24,-10084,-2105
0,2020.0,-39,-10344,-2030
0,2040.0,-1072,-12291,-1912
0,2060.0,-1734,-13258,-2989
0,2080.0,-1257,-13914,-2415
0,2100.0,-1148,-13742,-1272
0,2120.0,-1681,-13745,-1973
0,2140.0,-1994,-13902,-2549
0,2160.0,-2227,-13646,-2873
0,2180.0,-2075,-14031,-3029
0,2200.0,-1702,-13761,-2269
0,2220.0,-1410,-12660,-1293
0,2240.0,-1519,-11264,-1007
0,2260.0,-2016,-9962,-1559
0,2280.0,-2452,-9203,-2096
0,2300.0,-2349,-9056,-2016
0,2320.0,-1809,-8898,-1117
0,2340.0,-1311,-8473,-637
0,2360.0,-1298,-8092,-1057
0,2380.0,-1565,-7600,-1353
0,2400.0,-1518,-6976,-1331
0,2420.0,-1202,-6491,-1146
0,2440.0,-634,-6218,-727
0,2460.0,-358,-5807,-552
0,2480.0,-233,-5305,-528
0,2500.0,-346,-4807,-607
0,2520.0,-323,-4429,-621
0,2540.0,-316,-4200,-530
0,2560.0,-176,-4319,-321
0,2580.0,-199,-4397,206
0,2600.0,-256,-4930,279
0,2620.0,-572,-5464,42
0,2640.0,-872,-6178,16
0,2660.0,-1017,-6694,520
0,2680.0,-968,-7144,810
0,2700.0,-758,-7948,-483
0,2720.0,-604,-9634,-2427
0,2740.0,-1029,-10370,-2419
0,2760.0,-896,-9171,-1479
0,2780.0,-406,-7189,-447
0,2800.0,-369,-6392,465
0,2820.0,-786,-6536,503
0,2840.0,-806,-7104,-59
0,2860.0,-564,-7692,-355
0,2880.0,-74,-8042,159
0,2900.0,414,-8293,575
0,2920.0,629,-8789,637
0,2940.0,483,-9158,656
0,2960.0,356,-9216,244
0,2980.0,268,-8973,-59
