label,time_ms,x_lsb,y_lsb,z_lsb
0,0.0,-2082,-7484,2490
0,20.0,-2179,-7279,2382
0,40.0,-2107,-7300,2376
0,60.0,-1765,-7483,2206
0,80.0,-1720,-7521,1749
0,100.0,-1628,-7480,1434
0,120.0,-1671,-7661,1309
0,140.0,-1677,-7874,851
0,160.0,-1920,-7936,375
0,180.0,-2568,-8001,361
0,200.0,-3154,-8496,237
0,220.0,-2766,-9099,163
0,240.0,-1581,-9789,56
0,260.0,-629,-9931,231
0,280.0,-698,-9634,384
0,300.0,-876,-9681,-214
0,320.0,-1058,-9885,-693
0,340.0,-861,-10333,-1166
0,360.0,-621,-10538,-1191
0,380.0,-374,-10440,-1207
0,400.0,-871,-10545,-1477
0,420.0,-802,-10402,-1716
0,440.0,-298,-10526,-1524
0,460.0,261,-10564,-1493
0,480.0,586,-10468,-1479
0,500.0,625,-10495,-1882
0,520.0,472,-10191,-1897
0,540.0,182,-10390,-1977
0,560.0,-420,-10277,-2001
0,580.0,-846,-9862,-1793
0,600.0,-1013,-9598,-2032
0,620.0,-834,-9233,-1801
0,640.0,-872,-8603,-1598
0,660.0,-925,-8222,-1473
0,680.0,-513,-8080,-1199
0,700.0,-742,-7763,-1147
0,720.0,-1329,-7414,-1343
0,740.0,-2084,-7438,-1558
0,760.0,-2113,-7867,-1932
0,780.0,-2160,-8578,-2208
0,800.0,-2619,-8662,-2389
0,820.0,-3138,-8663,-2461
0,840.0,-3000,-8604,-2505
0,860.0,-2376,-8530,-2273
0,880.0,-2059,-8197,-2123
0,900.0,-2166,-7222,-1728
0,920.0,-1893,-6862,-1364
0,940.0,-1391,-6546,-871
0,960.0,-1006,-6338,-402
0,980.0,-651,-5955,183
0,1000.0,-429,-5735,633
0,1020.0,-976,-5122,1213
0,1040.0,-872,-5390,1443
0,1060.0,-472,-5514,1818
0,1080.0,-590,-5446,1885
0,1100.0,-890,-5436,1960
0,1120.0,-762,-5717,2143
0,1140.0,-814,-5984,2376
0,1160.0,-1530,-5976,2485
0,1180.0,-1959,-6119,2350
0,1200.0,-1762,-6522,2279
0,1220.0,-1844,-7102,2280
0,1240.0,-2143,-7517,2132
0,1260.0,-2210,-7753,1985
0,1280.0,-1885,-7877,1955
0,1300.0,-1631,-7842,2136
0,1320.0,-1638,-8079,2070
0,1340.0,-1376,-8207,2105
0,1360.0,-1290,-8142,2201
0,1380.0,-1592,-7801,2249
0,1400.0,-1967,-7504,2302
0,1420.0,-1778,-7719,2359
0,1440.0,-1546,-7740,2380
0,1460.0,-1986,-7696,2265
0,1480.0,-2164,-7539,2316
0,1500.0,-1941,-7602,2348
0,1520.0,-1630,-7690,2403
0,1540.0,-1614,-7625,2403
0,1560.0,-2003,-7404,2332
0,1580.0,-2054,-7502,2302
0,1600.0,-2020,-7758,2289
0,1620.0,-2058,-7696,2354
0,1640.0,-1852,-7650,2455
0,1660.0,-1512,-7620,2561
0,1680.0,-1572,-7484,2594
0,1700.0,-1867,-7453,2485
0,1720.0,-1983,-7407,2442
0,1740.0,-1904,-7280,2506
0,1760.0,-1849,-7156,2488
0,1780.0,-1808,-7030,2370
0,1800.0,-1782,-6973,2245
0,1820.0,-1657,-6928,2120
0,1840.0,-1799,-6859,1934
0,1860.0,-2018,-6480,1861
0,1880.0,-1811,-6178,1471
0,1900.0,-1378,-5800,1437
0,1920.0,-1277,-5320,1284
0,1940.0,-1614,-5306,931
0,1960.0,-1379,-5167,570
0,1980.0,-759,-5458,381
0,2000.0,-435,-5742,437
0,2020.0,-686,-5720,204
0,2040.0,-1232,-5550,-762
0,2060.0,-1442,-5763,-1474
0,2080.0,-1030,-6647,-1730
0,2100.0,-472,-7708,-1727
0,2120.0,-709,-8388,-1907
0,2140.0,-1288,-8113,-1732
0,2160.0,-1449,-7816,-2294
0,2180.0,-1637,-7640,-2348
0,2200.0,-1336,-7856,-2530
0,2220.0,-718,-8314,-2202
0,2240.0,-548,-8079,-2196
0,2260.0,-638,-8105,-1968
0,2280.0,-915,-8011,-1917
0,2300.0,-1361,-8249,-2456
0,2320.0,-1432,-8542,-2189
0,2340.0,-1201,-9012,-1998
0,2360.0,-1468,-9181,-1992
0,2380.0,-1675,-9523,-2014
0,2400.0,-1212,-9925,-1901
0,2420.0,-855,-10647,-2077
0,2440.0,-1051,-11182,-2331
0,2460.0,-1654,-11300,-2778
0,2480.0,-2141,-11451,-2949
0,2500.0,-2148,-11682,-2880
0,2520.0,-2212,-12064,-2922
0,2540.0,-2086,-12462,-2703
0,2560.0,-1537,-12225,-2409
0,2580.0,-1654,-11826,-1789
0,2600.0,-1880,-11066,-1622
0,2620.0,-2022,-10305,-1261
0,2640.0,-1791,-9507,-306
0,2660.0,-1348,-8949,532
0,2680.0,-1060,-8698,528
0,2700.0,-1350,-8832,359
0,2720.0,-1768,-8650,561
0,2740.0,-1664,-8038,1020
0,2760.0,-1384,-7811,1313
0,2780.0,-1237,-7351,1677
0,2800.0,-2216,-6618,1994
