label,time_ms,x_lsb,y_lsb,z_lsb
0,0.0,-304,-8370,-242
0,20.0,-304,-8360,-220
0,40.0,-324,-8341,-231
0,60.0,-291,-8341,-220
0,80.0,-267,-8353,-239
0,100.0,-319,-8380,-249
0,120.0,-286,-8369,-224
0,140.0,-318,-8324,-238
0,160.0,-321,-8366,-231
0,180.0,-302,-8361,-245
0,200.0,-278,-8334,-240
0,220.0,-331,-8330,-220
0,240.0,-294,-8364,-233
0,260.0,-300,-8333,-231
0,280.0,-328,-8379,-214
0,300.0,-296,-8336,-228
0,320.0,-297,-8345,-246
0,340.0,-299,-8193,-204
0,360.0,-304,-8311,-299
0,380.0,-335,-8333,-259
0,400.0,-298,-8319,-224
0,420.0,-273,-8323,-243
0,440.0,-287,-8364,-270
0,460.0,-335,-8389,-242
0,480.0,-272,-8364,-213
0,500.0,-317,-8344,-238
0,520.0,-330,-8356,-209
0,540.0,-263,-8356,-237
0,560.0,-308,-8354,-234
0,580.0,-324,-8538,-184
0,600.0,-324,-8492,-242
0,620.0,-281,-8780,-307
0,640.0,-332,-8484,-115
0,660.0,-335,-8427,-195
0,680.0,-316,-8503,-288
0,700.0,-299,-8375,-234
0,720.0,-339,-8390,-233
0,740.0,-366,-9663,-13
0,760.0,-289,-8557,-467
0,780.0,-295,-8539,-403
0,800.0,-303,-8276,-126
0,820.0,-337,-8311,-121
0,840.0,-299,-8370,-382
0,860.0,-305,-8296,-295
0,880.0,-279,-8310,-196
0,900.0,-353,-8265,-238
0,920.0,-277,-8366,-289
0,940.0,-292,-8338,-243
0,960.0,-317,-8367,-216
0,980.0,-309,-8335,-250
0,1000.0,-267,-8339,-276
0,1020.0,-325,-8348,-233
0,1040.0,-285,-8386,-200
0,1060.0,-253,-8323,-220
0,1080.0,-334,-8379,-269
0,1100.0,-328,-8312,-259
0,1120.0,-328,-8351,-220
0,1140.0,-306,-8350,-266
0,1160.0,-308,-8361,-254
0,1180.0,-320,-8355,-244
0,1200.0,-328,-8316,-254
0,1220.0,-296,-8346,-216
0,1240.0,-310,-8326,-235
0,1260.0,-288,-8352,-256
0,1280.0,-313,-8343,-239
0,1300.0,-293,-8310,-243
0,1320.0,-300,-8380,-219
0,1340.0,-254,-8383,-207
0,1360.0,-313,-8345,-246
0,1380.0,-273,-8345,-257
0,1400.0,-323,-8345,-225
0,1420.0,-277,-8306,-228
0,1440.0,-307,-8383,-247
0,1460.0,-298,-8351,-232
0,1480.0,-309,-8379,-223
0,1500.0,-304,-8374,-242
0,1520.0,-323,-8359,-245
0,1540.0,-298,-8367,-240
0,1560.0,-292,-8353,-222
0,1580.0,-286,-8330,-234
0,1600.0,-352,-8364,-256
0,1620.0,-319,-8348,-235
0,1640.0,-327,-8352,-222
0,1660.0,-315,-8374,-243
0,1680.0,-319,-8331,-287
0,1700.0,-293,-8374,-239
0,1720.0,-310,-8350,-260
0,1740.0,-321,-8346,-228
0,1760.0,-305,-8337,-244
0,1780.0,-309,-8399,-245
0,1800.0,-313,-8384,-244
0,1820.0,-297,-8348,-246
0,1840.0,-267,-8348,-265
0,1860.0,-310,-8346,-231
0,1880.0,-297,-8331,-228
0,1900.0,-308,-8395,-217
0,1920.0,-283,-8366,-247
0,1940.0,-297,-8360,-262
0,1960.0,-300,-8401,-253
0,1980.0,-282,-8318,-252
0,2000.0,-293,-8350,-232
0,2020.0,-334,-8363,-228
0,2040.0,-296,-8360,-244
0,2060.0,-297,-8368,-245
0,2080.0,-313,-8360,-224
0,2100.0,-272,-8354,-244
0,2120.0,-311,-8338,-234
0,2140.0,-343,-8376,-251
0,2160.0,-332,-8351,-235
0,2180.0,-276,-8354,-223
0,2200.0,-297,-8344,-241
0,2220.0,-301,-8344,-232
0,2240.0,-290,-8326,-238
0,2260.0,-315,-8355,-245
0,2280.0,-329,-8343,-228
0,2300.0,-318,-8373,-236
0,2320.0,-286,-8362,-248
0,2340.0,-296,-8356,-215
0,2360.0,-294,-8367,-211
0,2380.0,-302,-8309,-221
0,2400.0,-313,-8312,-210
0,2420.0,-308,-8359,-242
0,2440.0,-316,-8363,-235
0,2460.0,-343,-8364,-222
0,2480.0,-301,-8373,-235
0,2500.0,-286,-8343,-256
0,2520.0,-322,-8297,-254
0,2540.0,-282,-8332,-242
0,2560.0,-271,-8339,-231
0,2580.0,-298,-8336,-265
0,2600.0,-289,-8379,-213
0,2620.0,-264,-8339,-279
0,2640.0,-286,-8354,-246
0,2660.0,-296,-8356,-245
0,2680.0,-347,-8348,-221
0,2700.0,-268,-8340,-283
0,2720.0,-373,-8346,-271
0,2740.0,-314,-8299,-239
0,2760.0,-276,-8351,-252
0,2780.0,-314,-8384,-230
0,2800.0,-349,-8349,-232
