label,time_ms,x_lsb,y_lsb,z_lsb
0,0.0,-7007,3465,616
0,20.0,-6795,3558,336
0,40.0,-6990,3613,111
0,60.0,-7506,3656,182
0,80.0,-7747,3614,144
0,100.0,-7564,3643,166
0,120.0,-7173,3462,-107
0,140.0,-7053,3507,-102
0,160.0,-7475,3735,101
0,180.0,-7680,3605,472
0,200.0,-7412,3730,702
0,220.0,-7001,3381,620
0,240.0,-6859,3442,356
0,260.0,-7137,3719,582
0,280.0,-7318,3927,849
0,300.0,-7315,3827,974
0,320.0,-7261,4095,986
0,340.0,-7220,4091,1110
0,360.0,-7677,4474,1492
0,380.0,-7221,3783,1459
0,400.0,-6931,3106,1437
0,420.0,-6804,3229,2111
0,440.0,-7503,3320,1862
0,460.0,-7577,3272,1949
0,480.0,-7582,3816,2097
0,500.0,-7849,3946,2280
0,520.0,-7667,2917,2044
0,540.0,-6886,2256,2306
0,560.0,-6707,3574,3088
0,580.0,-5914,5836,2852
0,600.0,-5221,6891,1318
0,620.0,-4676,7274,18
0,640.0,-4025,8279,-302
0,660.0,-3775,8867,29
0,680.0,-3271,8214,-99
0,700.0,84,8090,-1966
0,720.0,741,7517,-2153
0,740.0,1046,5649,-3185
0,760.0,1478,4715,-2980
0,780.0,1091,3285,-3011
0,800.0,1652,2373,-3322
0,820.0,2003,1534,-817
0,840.0,2080,1208,-1191
0,860.0,3041,2932,-5645
0,880.0,7292,4131,-5211
0,900.0,5947,4268,-1908
0,920.0,4233,5431,-3679
0,940.0,3574,5341,-3799
0,960.0,4570,5344,-4926
0,980.0,6720,6632,-4940
0,1000.0,8416,8936,-4277
0,1020.0,8634,10474,-4106
0,1040.0,9137,10306,-3750
0,1060.0,9869,10054,-3384
0,1080.0,10661,10471,-3305
0,1100.0,11561,11821,-2310
0,1120.0,12925,12851,-1457
0,1140.0,14220,13655,-2207
0,1160.0,15517,15096,-2709
0,1180.0,16638,15801,-2826
0,1200.0,17266,16424,-3356
0,1220.0,17769,18344,-4671
0,1240.0,17556,19794,-6448
0,1260.0,16182,19895,-7317
0,1280.0,12742,17956,-8402
0,1300.0,7424,13784,-8656
0,1320.0,-1702,7471,-7022
0,1340.0,-6223,4854,-6007
0,1360.0,529,305,-626
0,1380.0,495,269,-620
0,1400.0,547,278,-570
0,1420.0,538,367,-547
0,1440.0,547,278,-553
0,1460.0,543,339,-525
0,1480.0,533,308,-538
0,1500.0,583,338,-569
0,1520.0,564,362,-544
0,1540.0,596,305,-549
0,1560.0,571,311,-583
0,1580.0,574,315,-563
0,1600.0,538,297,-616
0,1620.0,555,337,-603
0,1640.0,562,295,-597
0,1660.0,538,325,-616
0,1680.0,546,291,-579
0,1700.0,513,267,-573
0,1720.0,508,284,-587
0,1740.0,476,285,-630
0,1760.0,500,295,-614
0,1780.0,486,274,-614
0,1800.0,501,270,-631
0,1820.0,477,251,-572
0,1840.0,455,253,-577
0,1860.0,497,237,-583
0,1880.0,463,224,-603
0,1900.0,-16758,24816,25667
0,1920.0,-18614,-32767,16384
0,1940.0,-1657,-7609,6655
0,1960.0,-12782,13854,4680
0,1980.0,-10096,1795,2752
0,2000.0,-5110,3066,9468
0,2020.0,-7367,4565,13269
0,2040.0,-9710,2682,8562
0,2060.0,-7649,2761,7395
0,2080.0,-5216,1094,5450
0,2100.0,-2675,5164,3363
0,2120.0,-1160,11683,15025
0,2140.0,-6675,16255,19006
0,2160.0,-10829,8875,18667
0,2180.0,-18105,7365,18528
0,2200.0,-21240,18649,28499
0,2220.0,-12328,21740,29666
0,2240.0,-2971,11182,23315
0,2260.0,-2389,1470,16691
0,2280.0,-10294,1840,10842
0,2300.0,-9817,5161,8176
0,2320.0,-3709,4217,5822
0,2340.0,1062,3094,3246
0,2360.0,94,510,-3077
0,2380.0,-1805,-5337,-11503
0,2400.0,-1041,-13982,-19139
0,2420.0,1558,-19198,-23181
0,2440.0,1960,-18845,-22317
0,2460.0,-178,-15166,-20764
0,2480.0,-2111,-10253,-18202
0,2500.0,-3041,-4157,-15605
0,2520.0,-3518,3269,-12929
0,2540.0,-4715,9392,-7855
0,2560.0,-2398,10288,-3673
0,2580.0,378,10170,-1518
0,2600.0,1653,9774,-2623
0,2620.0,-515,10594,-6528
0,2640.0,-2938,14415,-8582
0,2660.0,-732,18808,-7259
0,2680.0,744,20253,-6415
0,2700.0,756,21312,-7161
0,2720.0,1803,20740,-6932
0,2740.0,3058,19530,-7277
0,2760.0,3070,17869,-7699
0,2780.0,1922,16313,-7393
0,2800.0,1646,15973,-5873
0,2820.0,1620,17207,-3837
0,2840.0,2038,18042,-233
0,2860.0,2177,15794,319
0,2880.0,2257,13151,-2722
0,2900.0,3273,12173,-3832
0,2920.0,2875,12468,-3344
0,2940.0,906,13136,-3222
0,2960.0,-1035,13922,-3970
0,2980.0,-2643,13686,-5784
